cid,cmpnd
760,Glyoxylic acid
971,Oxalic acid
757,Glycolic acid
974,Oxamic acid
155605,2-Azidoacetic acid
3305,Etidronic acid
2782466,"2-Bromo-2,3,3,3-tetrafluoropropanoic acid"
13680299,"2,2-Dichloro-3,3,3-trifluoropropionic acid"
62356,Pentafluoropropionic acid
2782609,"2,3,3,3-Tetrafluoropropanoic acid"
10110,Propiolic acid
70684,Bromopyruvic acid
2777972,"3,3,3-Trifluoropropionic acid"
244896,"3,3,3-Trifluoro-2-hydroxypropanoic acid"
9740,Cyanoacetic acid
316511,2-Bromo-3-fluoropropionic acid
11746,"2,3-Dibromopropionic acid"
11263,"2,3-Dichloropropionic acid"
2782825,"2,2-Difluoropropionic acid"
1060,Pyruvic acid
11729,2-Bromopropionic acid
11553,3-Bromopropionic acid
11734,2-Chloropropionic acid
7899,3-Chloropropionic acid
564951,2-Chloro-3-hydroxypropionic acid
256876,2-Fluoropropionic acid
8856,3-Iodopropionic acid
1032,Propionic acid
75551,(Methylthio)acetic acid
68152,3-Hydroxypropanoic acid
68152,3-Hydroxypropionic acid
612,DL-Lactic acid
12251,Methoxyacetic acid
3732841,methanesulfonylacetic acid
9777,Heptafluorobutyric acid
385606,"3,3,3-Trifluoro-2-(trifluoromethyl)propionic acid"
371,Acetylenedicarboxylic acid
5709614,"4,4,4-Trifluorocrotonic acid"
2762733,Thiazole-2-carboxylic acid
95324,"2,3-Dibromosuccinic acid"
2782823,"2,2-Difluorocyclopropanecarboxylic acid"
69581,"2,2-Difluorosuccinic acid"
68535,2-Butynoic acid
444972,Fumaric acid
54678503,Dihydroxyfumaric acid
73557,Bromosuccinic acid
2777085,"4,4,4-Trifluorobutyric acid"
2760712,"(2R)-3,3,3-Trifluoro-2-hydroxy-2-methylpropanoic acid"
7019028,"(S)-3,3,3-trifluoro-2-hydroxy-2-methylpropionic acid"
2775125,2-Hydroxy-2-(trifluoromethyl)propionic acid
1493857,"2-Amino-6H-1,3,4-thiadiazine-5-carboxylic acid"
318915,3-Bromo-2-(bromomethyl)propionic acid
3711426,"2,2-Difluorobutyric acid"
32743,3-Butenoic acid
637090,Crotonic acid
15655,Cyclopropanecarboxylic acid
2733160,1-Hydroxy-1-cyclopropanecarboxylic acid
58,2-Ketobutyric acid
83766,Acetoxyacetic acid
487,Methylmalonic acid
538366,Monomethyl malonate1
3801157,Monomethyl malonate2
1110,Succinic acid
8088,Diglycolic acid
525,DL-Malic acid
525,Malic acid
