"cid,abonds,atoms,bonds,dbonds,HBA1,HBA2,HBD,logP,MR,MW,nF,sbonds,tbonds,TPSA"
"unspecified_259106,6.0,44.0,46.0,3.0,26.0,6.0,2.0,3.4068000000000005,102.60439999999998,365.40416000000016,0.0,37.0,0.0,138.54999999999998"
"unspecified_701452,12.0,27.0,28.0,2.0,12.0,2.0,0.0,3.3372,66.6645,243.21485999999987,0.0,14.0,0.0,72.12"
"unspecified_980516,6.0,50.0,50.0,2.0,30.0,2.0,0.0,5.9443,94.83299999999998,321.4112800000004,0.0,42.0,0.0,72.12"
"unspecified_826475,6.0,29.0,29.0,2.0,16.0,2.0,0.0,3.0694999999999997,60.92399999999999,223.22521999999987,0.0,21.0,0.0,72.12"
"unspecified_830419,12.0,45.0,46.0,2.0,24.0,2.0,0.0,5.216600000000002,95.28499999999995,327.3743400000002,0.0,32.0,0.0,72.12"
"unspecified_284195,6.0,31.0,31.0,2.0,16.0,2.0,0.0,3.2169999999999996,68.96,247.24661999999984,0.0,22.0,1.0,72.12"
"unspecified_093425,12.0,34.0,35.0,2.0,16.0,3.0,0.0,4.145900000000001,82.593,321.71248000000014,0.0,21.0,0.0,81.35"
"unspecified_502368,6.0,40.0,40.0,2.0,24.0,4.0,0.0,2.856699999999999,77.775,297.3037600000003,0.0,32.0,0.0,90.58000000000001"
"unspecified_952078,6.0,34.0,34.0,4.0,18.0,3.0,0.0,3.34686,70.81199999999997,278.26396000000017,0.0,24.0,0.0,121.87"
"unspecified_702859,6.0,38.0,38.0,2.0,22.0,2.0,0.0,4.239800000000001,75.345,265.3049600000001,0.0,30.0,0.0,72.12"
"unspecified_402759,6.0,36.0,36.0,3.0,21.0,4.0,1.0,2.5765999999999996,73.7997,280.2765400000002,0.0,27.0,0.0,101.22"
"unspecified_572891,11.0,32.0,33.0,3.0,15.0,4.0,0.0,3.4310000000000005,76.60049999999998,309.29454000000004,0.0,19.0,0.0,121.54000000000002"
"unspecified_208179,11.0,32.0,33.0,3.0,15.0,4.0,0.0,3.4310000000000005,76.60049999999998,309.29454000000004,0.0,19.0,0.0,121.54000000000002"
"unspecified_273681,17.0,38.0,40.0,2.0,18.0,5.0,0.0,3.706200000000001,89.34899999999998,339.30222000000003,0.0,21.0,0.0,111.04"
"unspecified_726503,6.0,38.0,39.0,2.0,21.0,1.0,0.0,4.200000000000001,76.77199999999999,261.31625999999994,0.0,31.0,0.0,62.89"
"unspecified_480795,6.0,32.0,32.0,2.0,18.0,2.0,0.0,3.6037000000000012,65.991,237.2517999999999,0.0,24.0,0.0,72.12"
"unspecified_308645,6.0,35.0,35.0,2.0,20.0,2.0,0.0,3.9938000000000016,70.798,251.27837999999986,0.0,27.0,0.0,72.12"
