Time,variable,value
0,A6.2,0.8451004138995724
1,A6.2,1.0380760989632538
2,A6.2,1.1478726094305225
3,A6.2,1.2210702830753664
4,A6.2,1.3441754614780606
5,A6.2,1.420700302106762
6,A6.2,1.57264092770288
7,A6.2,1.7134909966861422
8,A6.2,1.9608104091528151
9,A6.2,2.0295718601525174
10,A6.2,2.311271998119042
11,A6.2,2.428831898215308
12,A6.2,2.8003655447459606
13,A6.2,3.0155223430353524
14,A6.2,3.2872409800503073
15,A6.2,3.4879800547429882
16,A6.2,3.748608135145086
17,A6.2,4.002581881579474
18,A6.2,4.2033209562721545
19,A6.2,4.500547873496676
20,A6.2,4.747867285963349
21,A6.2,5.026240256946017
22,A6.2,5.3212490628479685
23,A6.2,5.632893703669201
24,A6.2,5.925684398248581
25,A6.2,6.188530589973251
26,A6.2,6.477994117568775
27,A6.2,6.725313530035447
28,A6.2,7.039176282179252
29,A6.2,7.296477195597495
30,A6.2,7.643611617579867
31,A6.2,7.946383813110816
32,A6.2,8.2158843388032
33,A6.2,8.487602975818152
34,A6.2,8.812556284574814
35,A6.2,9.077620587622057
36,A6.2,9.322721888766157
37,A6.2,9.605531082393968
38,A6.2,9.92937533548934
39,A6.2,10.142314022456162
40,A6.2,10.452849607616109
41,A6.2,10.710150521034354
42,A6.2,10.977432935404167
43,A6.2,11.1970259563387
44,A6.2,11.531960766046927
45,A6.2,11.667265556723764
46,A6.2,11.915694024851724
47,A6.2,12.108669709915405
48,A6.2,12.245083556253524
49,A6.2,12.482421467768628
50,A6.2,12.656543206590458
51,A6.2,12.891663006782986
52,A6.2,13.116801306023952
53,A6.2,13.330849048652059
54,A6.2,13.507188898796457
55,A6.2,13.726781919730993
56,A6.2,13.96301077558481
57,A6.2,14.126041957793785
58,A6.2,14.331217255131605
59,A6.2,14.519756717550145
60,A6.2,14.724932014887965
0,A7.2,1.7401083325569933
1,A7.2,1.929756850636819
2,A7.2,2.239183380135483
3,A7.2,2.6029536370371353
4,A7.2,3.007758953406354
5,A7.2,3.4181095480819996
6,A7.2,3.892785371112206
7,A7.2,4.397405696997123
