Time,variable,value
0,F2.1,0.32606236441794456
1,F2.1,0.30277219553094925
2,F2.1,0.28280919362780876
3,F2.1,0.37486081351450906
4,F2.1,0.5401101070460519
5,F2.1,0.6554518958197462
6,F2.1,0.7419582374000186
7,F2.1,0.9360429781249859
8,F2.1,1.1123828282693857
9,F2.1,1.218852171752797
10,F2.1,1.3674656303650576
11,F2.1,1.4617353615743283
12,F2.1,1.662474436267007
13,F2.1,1.778925280701988
14,F2.1,1.8609953996371176
15,F2.1,2.0739340866039386
16,F2.1,2.2236566008774847
17,F2.1,2.3389983896511803
18,F2.1,2.462103568053875
19,F2.1,2.632898139891845
20,F2.1,2.7360403163913998
21,F2.1,2.861363606116666
22,F2.1,2.982250673196787
23,F2.1,3.107573962922052
24,F2.1,3.263950811163312
25,F2.1,3.3837288225821487
26,F2.1,3.5445418934685504
27,F2.1,3.656556515258389
28,F2.1,3.771898304032084
29,F2.1,3.9127483730153463
30,F2.1,4.029199217450327
31,F2.1,4.156740618498162
32,F2.1,4.282063908223426
33,F2.1,4.387424196045553
34,F2.1,4.495002595190249
35,F2.1,4.630307385867082
36,F2.1,4.733449562366637
37,F2.1,4.849900406801617
38,F2.1,4.9563697502850275
39,F2.1,5.070602483397439
40,F2.1,5.141582045719711
41,F2.1,5.215888775025843
42,F2.1,5.289086448670687
43,F2.1,5.3711565676058175
44,F2.1,5.467644410137659
45,F2.1,5.567459419653356
46,F2.1,5.637329926314343
47,F2.1,5.743799269797755
48,F2.1,5.824760333071597
49,F2.1,5.935665899200152
50,F2.1,6.022172240780422
51,F2.1,6.08760652479627
52,F2.1,6.1741128663765394
53,F2.1,6.261728263618098
54,F2.1,6.308308601392091
55,F2.1,6.380397219375648
56,F2.1,6.4580311156656345
57,F2.1,6.536774067616908
58,F2.1,6.581136294068329
59,F2.1,6.6554430233744615
60,F2.1,6.702023361148452
0,C5.1,0.676523953384172
1,C5.1,0.8262464676577195
2,C5.1,1.1556359990595202
3,C5.1,1.560441315428739
4,C5.1,2.107205756442504
5,C5.1,2.6262438059241315
6,C5.1,3.13530035445419
7,C5.1,3.682064795467955
8,C5.1,4.215520568546295
9,C5.1,4.70794128215707
10,C5.1,5.174853715558278
11,C5.1,5.632893703669201
12,C5.1,6.108678582360692
13,C5.1,6.642134355439032
14,C5.1,7.095738120904813
15,C5.1,7.029194781227683
16,C5.1,7.03695817085668
17,C5.1,7.448417821193614
18,C5.1,7.885385751740113
19,C5.1,8.265791843561047
20,C5.1,8.50534786639872
21,C5.1,8.748231056220254
22,C5.1,8.961169743187074
23,C5.1,9.271705328347023
24,C5.1,9.504607017216983
25,C5.1,9.633257473926104
26,C5.1,9.961537949666623
27,C5.1,10.023645066698613
28,C5.1,10.20553019514944
29,C5.1,10.371888544342266
30,C5.1,10.501648056712675
31,C5.1,10.58704534263166
32,C5.1,10.740095023889062
33,C5.1,10.837691922082188
34,C5.1,10.917543929694748
35,C5.1,10.99406877032345
36,C5.1,11.070593610952152
37,C5.1,11.172626731790416
38,C5.1,11.242497238451406
39,C5.1,11.303495299822112
40,C5.1,11.346748470612248
41,C5.1,11.404419364999097
42,C5.1,11.435472923515087
43,C5.1,11.50756154149865
44,C5.1,11.55192376795007
45,C5.1,11.605158439691776
46,C5.1,11.641757276514195
47,C5.1,11.657284055772193
48,C5.1,11.702755337884899
49,C5.1,11.74046323036861
50,C5.1,11.788152623803889
51,C5.1,11.787043568142598
52,C5.1,11.833623905916593
53,C5.1,11.844714462529447
54,C5.1,11.871331798400302
55,C5.1,11.8713317984003
56,C5.1,11.94342041638386
57,C5.1,11.958947195641857
58,C5.1,11.971146807916002
59,C5.1,11.975583030561141
60,C5.1,12.001091310770706
0,A4.1,0.0033271669838561557
1,A4.1,0.08761539724155609
2,A4.1,0.17190362749925692
3,A4.1,0.35267970028879914
4,A4.1,0.6144168363521825
5,A4.1,0.8728268054317101
6,A4.1,1.1090556612855291
7,A4.1,1.4495357493001868
8,A4.1,1.7900158373148436
9,A4.1,2.0927880328457924
10,A4.1,2.4166322859411666
11,A4.1,2.7482399286655417
12,A4.1,3.0621026808093443
13,A4.1,3.407018991469145
14,A4.1,3.709791187000094
15,A4.1,4.043616941047038
16,A4.1,4.410714364932549
17,A4.1,4.773375566172917
18,A4.1,5.160435991961566
19,A4.1,5.547496417750215
20,A4.1,5.891303672748728
21,A4.1,6.251746762666529
22,A4.1,6.612189852584324
23,A4.1,6.9925959444052594
24,A4.1,7.3674567579197685
25,A4.1,7.7090459015957125
26,A4.1,8.081688603787649
27,A4.1,8.40442380122174
28,A4.1,8.746012944897682
29,A4.1,9.075402476299486
30,A4.1,9.395919562411
31,A4.1,9.725309093812804
32,A4.1,10.064680126166174
33,A4.1,10.382979100955122
34,A4.1,10.695732797437643
35,A4.1,11.041758163758725
36,A4.1,11.365602416854102
37,A4.1,11.55414187927264
38,A4.1,11.774843955868459
39,A4.1,12.042126370238273
40,A4.1,12.311626895930658
41,A4.1,12.677615264154882
42,A4.1,13.042494576717818
43,A4.1,13.370775052458338
44,A4.1,13.635839355505578
45,A4.1,13.929739105746243
46,A4.1,14.19813057577734
47,A4.1,14.495357493001862
48,A4.1,14.775948575307101
49,A4.1,15.05653965761234
50,A4.1,15.350439407853008
51,A4.1,15.604413154287393
52,A4.1,15.93380268568919
53,A4.1,16.404042286074255
54,A4.1,16.797757045830622
55,A4.1,17.127146577232423
56,A4.1,17.374465989699093
57,A4.1,17.581859398359487
58,A4.1,17.82141542119716
59,A4.1,18.085370668583124
60,A4.1,18.349325915969075
0,B4.1,0.6188530589973245
1,B4.1,0.5822542221749023
2,B4.1,0.6454703948681773
3,B4.1,0.6809601760293154
4,B4.1,0.8550819148511426
5,B4.1,1.157854110382091
6,B4.1,1.344175461478061
7,B4.1,1.6214393767994428
8,B4.1,1.9330840176206774
9,B4.1,2.2979633301836158
10,B4.1,2.6761513106819814
11,B4.1,3.200734638470037
12,B4.1,3.725317966258091
13,B4.1,4.339734802610275
14,B4.1,4.807756291672767
15,B4.1,5.184835216509847
16,B4.1,5.882431227458445
17,B4.1,6.310526712714659
18,B4.1,6.926052604728128
19,B4.1,7.599249391128445
20,B4.1,8.444349805028018
21,B4.1,9.117546591428336
22,B4.1,9.825124103328502
23,B4.1,10.760058025792203
24,B4.1,11.487598539595508
25,B4.1,12.235102055301954
26,B4.1,13.008113851217967
27,B4.1,13.757835478246989
28,B4.1,14.448777155227871
29,B4.1,15.250624398337308
30,B4.1,15.952656631931047
31,B4.1,16.659125088169933
32,B4.1,17.319013206634814
33,B4.1,17.988882826051277
34,B4.1,18.679824503032165
35,B4.1,19.286477949755344
36,B4.1,19.976310571074947
37,B4.1,20.5774187394917
38,B4.1,21.214016689069595
39,B4.1,21.71641890363194
40,B4.1,22.34636251924212
41,B4.1,22.780003282804763
42,B4.1,23.376675228576374
43,B4.1,23.835824272348585
44,B4.1,24.333790264265794
45,B4.1,24.71974163439315
46,B4.1,25.121219783778514
47,B4.1,25.50606209824459
48,B4.1,25.86872329948496
49,B4.1,26.18480416295134
50,B4.1,26.53193858493371
51,B4.1,26.77593083041653
52,B4.1,27.04432230044762
53,B4.1,27.297186991220723
54,B4.1,27.465763451736123
55,B4.1,27.64764858018695
56,B4.1,27.80735259541206
57,B4.1,27.91382193889548
58,B4.1,27.974820000266178
59,B4.1,28.136742126813868
60,B4.1,28.156705128717007
0,OleA,0.2872454162729512
1,OleA,0.3648793125629388
2,OleA,0.4369679305464982
3,OleA,0.6277255042876106
4,OleA,0.869499638447853
5,OleA,1.1445454424466646
6,OleA,1.457299138929185
7,OleA,1.757853223137563
8,OleA,2.09611519982965
9,OleA,2.4110870076347397
10,OleA,2.7992564890846743
11,OleA,3.1275369648251914
12,OleA,3.497961555694557
13,OleA,3.879476703176781
14,OleA,4.276518629917
15,OleA,4.705723170834498
16,OleA,5.178180882542135
17,OleA,5.661729150862624
18,OleA,6.189639645634538
