Time,variable,value
0,F2.1,-0.0066543339677127555
1,F2.1,-0.24177413416024507
2,F2.1,-0.16414023787025878
3,F2.1,-0.1330866793542631
4,F2.1,-0.10425123216083998
5,F2.1,0.06543428401584661
6,F2.1,0.15526779257997347
7,F2.1,0.2584099690795276
8,F2.1,0.3449163106597992
9,F2.1,0.5966719457716154
10,F2.1,0.7929747978191526
11,F2.1,1.1201462178983843
12,F2.1,1.4162640794616213
13,F2.1,1.714600052347429
14,F2.1,1.949719852539959
15,F2.1,2.197039265006632
16,F2.1,2.421068508586309
17,F2.1,2.6528611417949857
18,F2.1,2.866908884423092
19,F2.1,3.0166313986966387
20,F2.1,3.259514588518169
21,F2.1,3.4613627188721345
22,F2.1,3.6743014058389565
23,F2.1,3.825132975773789
24,F2.1,3.9726373787247646
25,F2.1,4.147868173207878
26,F2.1,4.307572188432995
27,F2.1,4.471712426303253
28,F2.1,4.608126272641373
29,F2.1,4.743431063318206
30,F2.1,4.8742996313499
31,F2.1,4.9885323644623085
32,F2.1,5.10720132021986
33,F2.1,5.236960832590267
34,F2.1,5.356738844009105
35,F2.1,5.468753465798943
36,F2.1,5.587422421556495
37,F2.1,5.672819707475479
38,F2.1,5.805906386829743
39,F2.1,5.882431227458444
40,F2.1,5.9656104020548595
41,F2.1,6.055443910618987
42,F2.1,6.128641584263832
43,F2.1,6.234001872085958
44,F2.1,6.319399158004944
45,F2.1,6.4081236109077855
46,F2.1,6.472448839262346
47,F2.1,6.562282347826474
48,F2.1,6.603317407294039
49,F2.1,6.689823748874311
50,F2.1,6.753039921567587
51,F2.1,6.774111979132011
52,F2.1,6.87392698864771
53,F2.1,6.944906550969984
54,F2.1,7.019213280276114
55,F2.1,7.050266838792109
56,F2.1,7.07910228598553
57,F2.1,7.101283399211242
58,F2.1,7.110155844501526
59,F2.1,7.167826738888374
60,F2.1,7.249896857823505
0,C5.1,0.6443613392068928
1,C5.1,0.8406641912544308
2,C5.1,1.3541569624296304
3,C5.1,1.8288327854598365
4,C5.1,2.2236566008774856
5,C5.1,2.6983324239076913
6,C5.1,3.2173704733893187
