org,substrate,activity
Kytococcus sedentarius,7Ph.heptanoate,2.2623958869407503
Granulosicoccus antarcticus,7Ph.heptanoate,2.1705550707858285
Mobilicoccus massiliensis,7Ph.heptanoate,1.8790466652879336
Kocuria varians,7Ph.heptanoate,1.792149387486441
Actinoplanes atraurantiacus,7Ph.heptanoate,1.7330582156949894
Thermomonas haemolytica,7Ph.heptanoate,1.5044200533796355
Chromatocurvus halotolerans,7Ph.heptanoate,1.7326814024156563
Xanthomonas translucens,7Ph.heptanoate,1.1839396108221467
Dermabacter hominis,7Ph.heptanoate,1.9763508605146938
Luteimonas tolerans,7Ph.heptanoate,1.6593497404812814
Halobacteriovorax marinus,7Ph.heptanoate,1.2816797477812925
Xanthomonas campestris,7Ph.heptanoate,0
Arthrobacter globiformis,7Ph.heptanoate,1.663953461458723
Brachybacterium paraconglomeratum,7Ph.heptanoate,1.6055027661411552
Mycolicibacterium obuense,7Ph.heptanoate,1.3823906737137408
Okibacterium fritillariae,7Ph.heptanoate,1.6812358750356615
Arenimonas oryziterrae,7Ph.heptanoate,1.235285827384939
Subtercola sp.,7Ph.heptanoate,1.6702480429532147
Plantibacter sp.,7Ph.heptanoate,1.5840099698122108
Kocuria flava,7Ph.heptanoate,0
Cellulomonas cellasea,7Ph.heptanoate,1.6370091747813125
Pseudoxanthomonas sp.,7Ph.heptanoate,1.2727844584290782
Micromonospora peucetia,7Ph.heptanoate,1.6515364318383372
Intrasporangiaceae bacterium,7Ph.heptanoate,1.1681116997404088
Brachybacterium alimentarium,7Ph.heptanoate,1.7577110493285084
Humibacillus sp.,7Ph.heptanoate,1.4595035555027536
Agreia bicolorata,7Ph.heptanoate,0
Nesterenkonia alba,7Ph.heptanoate,1.2149565672271785
Silanimonas lenta,7Ph.heptanoate,0
Sandaracinus amylolyticus,7Ph.heptanoate,1.4623010922035378
Leifsonia sp.,7Ph.heptanoate,1.5620829937292486
Bacteriovorax sp.,7Ph.heptanoate,0
Auraticoccus monumenti,7Ph.heptanoate,1.3618281851602874
Paenibacillus polysaccharolyticus,7Ph.heptanoate,1.193772631597305
Sediminihabitans luteus,7Ph.heptanoate,1.3791521405845566
Psychromonas aquimarina,7Ph.heptanoate,1.057287906935782
Isoptericola variabilis,7Ph.heptanoate,1.4754702090712857
Dermatophilus congolensis,7Ph.heptanoate,0
Chloroflexi bacterium,7Ph.heptanoate,0
Geodermatophilus obscurus,7Ph.heptanoate,0
Nakamurella multipartita,7Ph.heptanoate,0
Enhygromyxa salina,7Ph.heptanoate,0
Brevibacterium antiquum,7Ph.heptanoate,0
Rothia mucilaginosa,7Ph.heptanoate,0
Actinomycetospora chiangmaiensis,7Ph.heptanoate,1.4377026499702754
Saccharothrix espanaensis,7Ph.heptanoate,0
Wenzhouxiangella sediminis,7Ph.heptanoate,1.6919525564874667
Virgibacillus salinus,7Ph.heptanoate,1.524400926757534
