PC1,PC_loading1,PC2,PC_loading2,PC3,PC_loading3,PC4,PC_loading4,PC5,PC_loading5,PC6,PC_loading6,PC7,PC_loading7
ATSm2,0.127338981,VC.5,0.178256274,HybRatio,0.209687494,MLogP,0.171545079,MDEO.22,0.258978985,khs.dsN,0.253419432,ATSc5,0.316512346
SP.6,0.126913629,VC.3,0.177464361,nAromBond,0.193917244,BCUTw.1l,0.158622252,khs.ssO,0.251024307,MDEN.12,0.253419432,khs.sCl,0.280768962
SP.4,0.126452945,SC.3,0.177035053,naAromAtom,0.193917244,khs.sCH3,0.157637725,MDEO.12,0.246725958,MDEN.13,0.253419432,Cl,0.280768962
ATSp2,0.126450694,SPC.4,0.175856912,AROMATIC,0.192849408,BCUTp.1l,0.149980589,C1SP3,0.241312025,Ncharges,0.253419432,khs.aaN,0.234386327
ATSp1,0.126200829,Kier3,0.173105927,khs.aasC,0.191547796,khs.dsN,0.146799242,BCUTc.1l,0.239900801,BCUTp.1l,0.248317616,khs.aaO,0.234386327
Zagreb,0.12584608,Kier2,0.171929083,C2SP2,0.188740538,MDEN.12,0.146799242,ROR,0.239473824,MDEN.22,0.246526429,C1SP2,0.234386327
SP.7,0.125744252,SC.5,0.169817947,khs.aaCH,0.186723884,MDEN.13,0.146799242,O,0.234829765,N,0.231417342,BCUTw.1h,0.230747797
ATSm3,0.125174594,VPC.4,0.159519247,ALogp2,0.181284939,Ncharges,0.146799242,WTPT.4,0.234689258,WTPT.5,0.220966797,C1SP1,0.205807056
ATSm5,0.124726493,nRotB,0.15864429,MolIP,0.177712332,XLogP,0.145305802,ATSc1,0.232205799,MDEN.23,0.205219868,C2SP1,0.205807056
SP.3,0.124672353,MDEC.22,0.156891465,ALogP,0.15681012,MDEC.24,0.139257521,ATSc3,0.226039734,ALogP,0.121681954,khs.tCH,0.205807056
SP.5,0.123912142,khs.ssCH2,0.150170002,C2SP3,0.155180553,MDEC.12,0.137331199,ATSc4,0.223613341,BCUTc.1l,0.121236675,khs.tsC,0.205807056
nB,0.123623962,VC.4,0.148637772,C3SP2,0.151437735,N,0.136372843,ATSc2,0.20017451,C1SP2,0.120469288,RCCH,0.205807056
ATSp5,0.123608235,VC.6,0.148637772,bpol,0.149743294,C4SP3,0.136037528,XLogP,0.164850052,khs.aaN,0.120469288,ATSc4,0.134223671
SP.2,0.123354114,SC.6,0.148637772,nAtomLAC,0.1472842,khs.ssssC,0.136037528,nHBAcc,0.160041067,khs.aaO,0.120469288,topoShape,0.131370926
MW1,0.123113425,SC.4,0.148637772,khs.ssCH2,0.141662149,MDEC.34,0.136037528,MLogP,0.151452517,khs.ssO,0.118563189,PetitjeanNumber,0.128852036
MW,0.123113425,MDEC.14,0.148442477,FMF,0.132488089,C,0.130530891,WTPT.3,0.139823848,BCUTc.1h,0.109548663,Ncharges,0.117527022
ATSp3,0.12307697,MDEC.11,0.14756262,nAtomLC,0.127897283,WTPT.5,0.129783995,BCUTc.1h,0.135948446,BCUTw.1h,0.109366666,khs.dsN,0.117527022
ATSp4,0.122986914,C4SP3,0.146030782,fragC,0.127752357,MDEC.13,0.12905554,ATSc5,0.128330427,BCUTw.1l,0.102611491,MDEN.12,0.117527022
VAdjMat,0.121862023,khs.ssssC,0.146030782,khs.aaN,0.126393938,VC.4,0.126881353,MDEC.22,0.118221167,nHBAcc,0.100321925,MDEN.13,0.117527022
ATSm4,0.120968297,MDEC.34,0.146030782,khs.aaO,0.126393938,VC.6,0.126881353,C2SP3,0.112152846,C1SP1,0.096284979,ATSm1,0.116759543
MW2,0.120880891,nAtomLC,0.144809236,C1SP2,0.126393938,SC.6,0.126881353,FMF,0.09340499,C2SP1,0.096284979,BCUTp.1l,0.116133744
WTPT.1,0.120787503,SPC.6,0.137054441,nAtom,0.114388643,SC.4,0.126881353,C3SP2,0.090947114,khs.tCH,0.096284979,C2SP2,0.113602162
WPOL,0.120710958,LipinskiFailures,0.136488159,MDEC.12,0.111340002,LipinskiFailures,0.125101399,TopoPSA,0.088889154,khs.tsC,0.096284979,BCUTc.1l,0.110569266
ATSm1,0.11818479,SPC.5,0.133005363,MDEC.23,0.105650086,MDEC.14,0.123140955,C,0.079621491,RCCH,0.096284979,SCH.5,0.109602079
SP.1,0.117371459,MDEC.13,0.132592795,nRotB,0.102785347,MDEC.11,0.11808087,MDEC.23,0.078534176,WTPT.3,0.090275892,BCUTw.1l,0.106145008
SCH.7,0.117245751,BCUTp.1h,0.132142583,VP.2,0.102057498,fragC,0.114460854,khs.aaCH,0.070856034,khs.sCl,0.090046521,MDEC.12,0.100152625
SCH.6,0.116695208,VPC.5,0.120647407,VP.7,0.101719185,nAtom,0.113866391,nAtomLAC,0.069622664,Cl,0.090046521,ALogp2,0.094799294
VP.5,0.115801491,MDEC.24,0.120143529,VP.6,0.100178816,SC.5,0.112418148,nAtomLC,0.068072426,O,0.081034331,MDEN.23,0.089704658
AMR,0.115667646,XLogP,0.119443231,WTPT.2,0.098992993,bpol,0.109420521,C3SP3,0.06252011,VCH.5,0.079998145,MolIP,0.083620497
VP.3,0.115357592,VPC.6,0.118997814,nAtomP,0.097625469,SC.3,0.109118021,WTPT.2,0.057902692,C4SP3,0.07981855,MDEN.22,0.079110324
WPATH,0.114639416,nAtomLAC,0.115368558,khs.sssCH,0.096255209,VC.3,0.106979763,C2SP2,0.05726639,khs.ssssC,0.07981855,khs.ssO,0.077688722
SP.0,0.114350004,C2SP3,0.106733143,khs.dssC,0.095623062,apol,0.106905325,VP.4,0.05530682,MDEC.34,0.07981855,C3SP2,0.077626504
