cid,cmpnd
171548,Biotin
4377950,6-Heptynoic acid
5275520,Geranic acid
243,Benzoic acid
76780,3-(4-chlorophenoxy)propanoic acid
520987,7-phenylheptanoic acid
6417,Trimethylacetic acid
3893,dodecanoic acid
77857,(tert-butoxycarbonyl)-L-phenylalanine
14625065,2-((furan-2-ylmethyl)sulfinyl)acetic acid
6862,2-(naphthalen-1-yl)acetic acid
7130633,"5-Phenyl-1,3,4-oxadiazole-2-propionic acid"
16044718,5-(4-Bromophenyl)oxazole-2-propionic acid
776336,3-[(1-Cyclohexyl-1H-tetraazol-5-yl)sulfanyl]propanoic acid
3159018,"3-[1,2,4]triazol-1-yl-butyric acid"
487260,"3-(6-Oxo-1,4,5,6-tetrahydropyridazin-3-yl)propanoic acid"
11040949,6-Azidohexanoic Acid
69820,8-Hydroxyoctanoic acid
5315,Succinylsulfathiazole
16770483,{Methyl[(5-methylisoxazol-4-YL)carbonyl]amino}acetic acid
6484178,(Tetrahydro-2H-pyran-2-ylmethoxy)acetic acid
9484192,"3-{[5-(Furan-2-yl)-1,3,4-oxadiazol-2-yl]sulfanyl}propanoic acid"
