variable,intercept,minutes,cmpnd
Actinoplanes atraurantiacus,-2.4405275303028984,0.1325149993529692,TMA
Kytococcus sedentarius,-1.2030983820035923,0.06508813309529626,TMA
Mobilicoccus massiliensis,-2.187744682909292,0.06404722800293904,TMA
Granulosicoccus antarcticus,-1.7735799491467907,0.038846754222527584,TMA
Kocuria varians,-1.751288822227717,0.027070873057792395,TMA
Rothia mucilaginosa,-1.6445654641923333,0.024227102727896868,TMA
Clavibacter michiganensis,-2.1962941008516914,0.021665213607779298,TMA
XC,-1.5144156243651572,0.021361310428487417,TMA
Thermomonas haemolytica,-1.8334405560565878,0.012652355551388645,TMA
Dermabacter hominis,-1.8338075888818202,0.010870044152063314,TMA
Saccharothrix espanaensis,-2.007580503430539,0.009887864311743155,TMA
Halobacteriovorax marinus,-1.5423639505638027,0.009206651388113019,TMA
Xanthomonas translucens,-1.5937583336382537,0.006920770952569746,TMA
Chromatocurvus halotolerans,-1.7080278865604024,0.006734318277352006,TMA
Micromonospora peucetia,-1.6517690951088804,0.005487874802865004,TMA
Silanimonas lenta,-1.5981871963960501,0.004394116983674423,TMA
Geodermatophilus obscurus,-1.7073427586199703,0.004062319309664933,TMA
Auraticoccus monumenti,-1.918093006868036,0.0030610537624327296,TMA
Luteimonas tolerans,-2.0493243700868957,0.003022882348608636,TMA
Cellulomonas cellasea,-1.3886212407307306,0.0026176781095527753,TMA
Pseudoxanthomonas,-1.3713951667998554,0.0021170453359367156,TMA
Streptomyces ambofaciens,-2.102671367791579,0.0019893179127560795,TMA
Mycolicibacterium obuense,-1.7083508754466057,0.00146959943222788,TMA
Sanguibacter keddieii,-1.9053985648860228,0.0014035335236862163,TMA
Bacillus sp. 7586-K,-1.7745342344923942,0.0013550851907555995,TMA
Leifsonia sp. Leaf325,-1.855384225234443,0.001239102817982384,TMA
Paenibacillus polysaccharolyticus,-1.984550417089995,0.001011542466338647,TMA
Pelobacter propionicus DSM 2379,-2.260617826916306,8.133447407135756e-4,TMA
Virgibacillus salinus,-1.8558540272507398,2.1287903863442538e-4,TMA
Pet28,-1.3627527672083992,3.9644267911383934e-17,TMA
Enhygromyxa salina,-1.9731038867137707,-3.0096691669000337e-4,TMA
Anaerocolumna xylanovorans,-1.9730500552327344,-5.109096927226318e-4,TMA
Sandaracinus amylolyticus,-2.074502821897793,-5.872525203707827e-4,TMA
Arthrobacter globiformis,-1.782927051762694,-6.342327220004422e-4,TMA
Brachybacterium paraconglomeratum,-2.107863658825857,-6.606590854171319e-4,TMA
Sediminihabitans luteus,-1.8283216715873554,-8.03067821607049e-4,TMA
Wenzhouxiangella sediminis,-1.0258557838136833,-8.515161545376348e-4,TMA
Psychromonas aquimarina,-1.895542510085796,-8.764743866534481e-4,TMA
Clostridium combesii,-2.122368796079014,-9.205183256812277e-4,TMA
Bacteriovorax sp. BAL6 X,-1.7038094559557386,-0.001142206152121185,TMA
Dermatophilus congolensis,-1.818049646251871,-0.001168632515537826,TMA
Intrasporangiaceae bacterium URHB0013,-2.1730144321899916,-0.0012655291813990599,TMA
Bacteroides luti,-1.7374100876629543,-0.001378575291570429,TMA
Frankiales bacterium YIM 75000,-1.8950824956115078,-0.0013947247358806114,TMA
Agreia bicolorata,-1.315522983257577,-0.0016589883700474746,TMA
Kineosphaera limosa,-2.009572268228796,-0.0017235861472882537,TMA
Shewanella putrefaciens,-1.6790127182830825,-0.0017279905411910449,TMA
Citricoccus muralis,-1.8742643937643637,-0.0019511464989319222,TMA
Agrococcus casei,-1.8251407204353465,-0.002065660740404252,TMA
Nesterenkonia alba,-1.6123889198470165,-0.0022168782643997268,TMA
Streptococcus pneumoniae,-1.8053013727888203,-0.0023255199806683185,TMA
Chloroflexi bacterium RBG 13 51 36,-2.179004407897774,-0.002451779272548052,TMA
Brevibacterium mcbrellneri,-2.001306689004577,-0.002467928716858242,TMA
Streptomyces avermitilis,-1.9682296907946912,-0.0025633572514185197,TMA
Okibacterium fritillariae,-1.584734219908556,-0.002724851694520451,TMA
Kocuria flava,-1.8897140288211185,-0.002807067047372347,TMA
Desulfobulbus elongatus,-1.964104241839087,-0.0029068999758354057,TMA
Subtercola sp. Z020,-1.371791562251105,-0.0032812734575717655,TMA
Brachybacterium alimentarium,-2.14413628950076,-0.0033150404774930633,TMA
Humibacillus sp. DSM 29435,-1.974601380640715,-0.0034398316380719047,TMA
Chlamydiales bacterium SCGC AG-110-P3,-1.807851027481431,-0.0034765349205950354,TMA
Arenimonas oryziterrae,-1.3823963640148011,-0.0035073656779145224,TMA
Actinomycetospora chiangmaiensis,-1.666058906437904,-0.003654178808007217,TMA
Nakamurella multipartita,-1.6397891436933172,-0.0037995238067989883,TMA
Desulfobacter curvatus,-1.8821971965603728,-0.0038127369885073174,TMA
Micromonospora avicenniae,-1.3648424074267178,-0.0038978886039610946,TMA
Cephaloticoccus capnophilus,-1.9189738856485923,-0.004000657795026003,TMA
Nonomuraea candida,-1.7201791199610743,-0.004094618198285326,TMA
Microlunatus phosphovorus,-1.7835926046191122,-0.005015136523966553,TMA
Allokutzneria albata,-1.7557127912145103,-0.00523829248170743,TMA
Plantibacter sp. VKM Ac-1784,-1.6202629973909886,-0.00547025722725388,TMA
Legionella brunensis,-1.794471457558982,-0.006788639135486322,TMA
Brevibacterium antiquum,-1.3823865764727943,-0.008632612049450582,TMA
Isoptericola variabilis,-1.7804116534671057,-0.01893889378195789,TMA
