org,max_slope,r2,intercept,cmpnd
Agrococcus casei,-0.06296293773161847,0.5165163606972635,-3.2634009420835355,dodecanoate
Arenimonas oryziterrae,0.11293304577114846,0.9241769658946793,-3.5230275117036003,dodecanoate
Bacillus sp. 7586-K,-0.07400410037340407,0.4472055243969609,-2.3109591108623255,dodecanoate
Bacteroides luti,-0.05849869841347342,0.4601976066664744,-2.8364582924302604,dodecanoate
Brachybacterium paraconglomeratum,0.0726876540584219,0.9329828647617953,-4.06783988080921,dodecanoate
Cephaloticoccus capnophilus,-0.07433144253505958,0.3188472831749431,-3.3379110957446914,dodecanoate
Chromatocurvus halotolerans,0.09898119201626399,0.9588361601443047,-3.781955161573106,dodecanoate
Citricoccus muralis,-0.07138005482889002,0.7104595138489365,-3.843077905531097,dodecanoate
Desulfobulbus elongatus,-0.0615031686323439,9.328537439067832e-4,-2.745138676413828,dodecanoate
Enhygromyxa salina,-0.057143324922510605,0.3759300558656097,-2.9776330043753707,dodecanoate
Humibacillus sp. DSM 29435,0.09125237816701406,0.9366347041056965,-4.683597028139564,dodecanoate
Kytococcus sedentarius,0.08728180621698726,0.9738874046568555,-1.5961765360884586,dodecanoate
Legionella brunensis,-0.06959825181923007,0.5944790160987571,-3.2520890586269777,dodecanoate
Microlunatus phosphovorus,0.05768476655205973,0.960481658924684,-4.65185368554443,dodecanoate
Micromonospora peucetia,0.08025368153538916,0.9124651029237535,-3.5265734235520227,dodecanoate
Mobilicoccus massiliensis,0.1019980481547647,0.9401518284987521,-3.8233949098216025,dodecanoate
Pseudoxanthomonas,0.07079791660627016,0.9313564504823028,-3.419932424953019,dodecanoate
Sandaracinus amylolyticus,-0.08080750908456844,0.7785955403925452,-4.226600829212135,dodecanoate
Sanguibacter keddieii,-0.07486580649624858,0.7359141011492628,-3.5632286679890783,dodecanoate
Streptomyces avermitilis,-0.09028804585294782,0.7359161256141905,-3.8774152135802096,dodecanoate
Thermomonas haemolytica,0.1534385417961094,0.9745477045997628,-5.431184595762579,dodecanoate
XC,0.07807022084629242,0.9617297506589977,-3.6554329925505287,dodecanoate
