variable,intercept,minutes,cmpnd
Kytococcus sedentarius,-0.5143502930566571,0.0540238425927882,dodecanoate
Arenimonas oryziterrae,-1.5859984430164558,0.0497751274679859,dodecanoate
Thermomonas haemolytica,-1.7821883460332575,0.04271685375752907,dodecanoate
Chromatocurvus halotolerans,-1.855979626127745,0.03592422240500394,dodecanoate
XC,-2.4586440061695853,0.034120979575279056,dodecanoate
Micromonospora peucetia,-2.1263566684390898,0.0331396654530371,dodecanoate
Mobilicoccus massiliensis,-1.6127397737149165,0.028554990875556407,dodecanoate
Brachybacterium paraconglomeratum,-2.740813485703628,0.028115899683916354,dodecanoate
Xanthomonas translucens,-1.7778182688115953,0.027048642445872913,dodecanoate
Granulosicoccus antarcticus,-1.8027417723940138,0.026979887953231738,dodecanoate
Kocuria varians,-2.2545108757832573,0.017918358343548504,dodecanoate
Micromonospora avicenniae,-1.9746852994074378,0.012541444498589018,dodecanoate
Pseudoxanthomonas,-1.5793678014155315,0.01076632850676282,dodecanoate
Arthrobacter globiformis,-2.324916517982538,0.008595874182249955,dodecanoate
Dermabacter hominis,-2.1633747123179314,0.006019143310312103,dodecanoate
Luteimonas tolerans,-2.3361880878367383,0.005372226038643,dodecanoate
Halobacteriovorax marinus,-2.709446852772941,0.004362785078502411,dodecanoate
Brachybacterium alimentarium,-2.2478229387717974,0.0034892905015386118,dodecanoate
Humibacillus sp. DSM 29435,-1.9555486322889828,0.0016610460381261021,dodecanoate
Anaerocolumna xylanovorans,-1.9787845255974812,3.390846568893079e-4,dodecanoate
Pet28,-1.7596087456090574,-1.321475597046131e-17,dodecanoate
Mycolicibacterium obuense,-2.646984437943188,-1.9845046739604854e-4,dodecanoate
Agreia bicolorata,-1.3694530432389243,-0.0016001045560123405,dodecanoate
Bacteriovorax sp. BAL6 X,-2.7704716736656536,-0.004331533036392795,dodecanoate
Geodermatophilus obscurus,-2.0946983497820497,-0.0060691465776874795,dodecanoate
Wenzhouxiangella sediminis,-1.3056936686616225,-0.006114462038746398,dodecanoate
Streptococcus pneumoniae,-2.377456409442489,-0.008042713036909737,dodecanoate
