org,max_slope,r2,intercept
Actinoplanes atraurantiacus,0.08325928653751942,0.9801447344546952,-3.4137871793476418
Arthrobacter globiformis,0.04646592708090119,0.9027076579426384,-1.7879447265233752
Cellulomonas cellasea,0.0716889685315545,0.9766748328140252,-4.225886690755946
Chromatocurvus halotolerans,0.09005962868364414,0.9586690137135242,-4.396806768917909
Clavibacter michiganensis,0.06897202116954443,0.9210760689487218,-5.126093523290264
Dermabacter hominis,0.11489741253801612,0.9662133733951503,-2.7522134343922824
Granulosicoccus antarcticus,0.18722511969869926,0.9929399048633224,-2.2418940040240005
Intrasporangiaceae bacterium URHB0013,0.024544853786611188,0.921056368346441,-3.50160240974707
Kineosphaera limosa,0.0562366976218833,0.9057501512629728,-4.839402278434007
Kocuria varians,0.07551888228282162,0.9743634203330255,-2.1475570927463488
Kytococcus sedentarius,0.3677002577213761,0.9632880363553253,-5.413823033171788
Micromonospora avicenniae,0.04100601278066159,0.9377362912013841,-2.688423505596245
Micromonospora peucetia,0.06063988139114648,0.9738616751457065,-2.933183783704295
Mobilicoccus massiliensis,0.15006580749267218,0.9884637099235323,-2.013609993051033
Mycolicibacterium obuense,0.04301539553773677,0.9065212294084719,-2.9658173683304785
Nesterenkonia alba,0.030730798197489854,0.9085165262093586,-3.8053096181096673
Plantibacter sp. VKM Ac-1784,0.056053721247179056,0.9532192025172036,-4.313320860264935
Pseudoxanthomonas,0.031234402898511163,0.9150657354239541,-3.723079363844567
Sandaracinus amylolyticus,0.0483225497453332,0.9056964304255263,-4.042376495068446
Sanguibacter keddieii,0.048471113132134654,0.941485938122965,-4.057240387819095
Sediminihabitans luteus,0.06261317247798173,0.9221878057629893,-5.04913433156252
Thermomonas haemolytica,0.09863433805970061,0.9886517808045614,-5.312064667283417
