variable,intercept,minutes,cmpnd
Kytococcus sedentarius,-2.604565747004611,0.2873699230443551,7Ph heptanoate
Granulosicoccus antarcticus,-1.9008359501609702,0.1731913571646409,7Ph heptanoate
Mobilicoccus massiliensis,-1.7224796580643655,0.13116177327942072,7Ph heptanoate
Dermabacter hominis,-2.5725393948288966,0.1037775373255642,7Ph heptanoate
Thermomonas haemolytica,-4.796584491421993,0.07745030441605033,7Ph heptanoate
Actinoplanes atraurantiacus,-3.094102944703614,0.07017136339540092,7Ph heptanoate
Chromatocurvus halotolerans,-3.5443051997519954,0.06000456552989921,7Ph heptanoate
Kocuria varians,-1.9113269153930408,0.05997046865750106,7Ph heptanoate
Sediminihabitans luteus,-4.842565853402401,0.0541117364958703,7Ph heptanoate
Cellulomonas cellasea,-3.6414516366324747,0.04993264591802709,7Ph heptanoate
Micromonospora peucetia,-2.498613422209131,0.0438159635043409,7Ph heptanoate
Sanguibacter keddieii,-3.917389224272029,0.040714630588821805,7Ph heptanoate
Arthrobacter globiformis,-1.5661627936338145,0.03823593621274731,7Ph heptanoate
Micromonospora avicenniae,-2.5791363984015825,0.03435334017749666,7Ph heptanoate
Mycolicibacterium obuense,-2.832145074747305,0.03433851545036701,7Ph heptanoate
Okibacterium fritillariae,-2.873130503685027,0.028957139502310523,7Ph heptanoate
Clavibacter michiganensis,-3.775679657639876,0.025548934735208122,7Ph heptanoate
Isoptericola variabilis,-3.0161298215774615,0.025132359902865466,7Ph heptanoate
Halobacteriovorax marinus,-3.7724824581555847,0.02356538624526333,7Ph heptanoate
Auraticoccus monumenti,-1.9539480058907328,0.022907168360707605,7Ph heptanoate
XC,-2.156483427935769,0.019874029189984894,7Ph heptanoate
Xanthomonas translucens,-2.469843568426224,0.019509340902595942,7Ph heptanoate
Citricoccus muralis,-3.0922943279937996,0.018941553853531027,7Ph heptanoate
Kineosphaera limosa,-3.917137203910826,0.018173632988216094,7Ph heptanoate
Brachybacterium alimentarium,-1.4714278456997554,0.017645872702401175,7Ph heptanoate
Arenimonas oryziterrae,-2.4764059809689396,0.017494660485678885,7Ph heptanoate
Wenzhouxiangella sediminis,-2.1226188095959784,0.017346413214382572,7Ph heptanoate
Pseudoxanthomonas,-3.267927811874264,0.016074451626660196,7Ph heptanoate
Dermatophilus congolensis,-2.252967693671124,0.015454778032641534,7Ph heptanoate
Virgibacillus salinus,-1.2474855176795312,0.015287258616076669,7Ph heptanoate
Subtercola sp. Z020,-2.857134623112155,0.015021896000456272,7Ph heptanoate
Agreia bicolorata,-2.1538100354767256,0.013116918564298545,7Ph heptanoate
Actinomycetospora chiangmaiensis,-1.6047268504736973,0.012795221985585496,7Ph heptanoate
Allokutzneria albata,-2.5660016901647267,0.01129051218192781,7Ph heptanoate
Luteimonas tolerans,-2.752457224849822,0.01018755248348321,7Ph heptanoate
Humibacillus sp. DSM 29435,-2.3841022882841405,0.010169762810927647,7Ph heptanoate
Psychromonas aquimarina,-1.4618708382768526,0.008894836277779303,7Ph heptanoate
Plantibacter sp. VKM Ac-1784,-3.0648092838954613,0.008728799333927378,7Ph heptanoate
Anaerocolumna xylanovorans,-1.7286961603073916,0.006521397464325159,7Ph heptanoate
Silanimonas lenta,-2.384398782826735,0.005781643580556581,7Ph heptanoate
Rothia mucilaginosa,-1.77669862675314,0.005709002417621308,7Ph heptanoate
Chlamydiales bacterium SCGC AG-110-P3,-2.136386039523696,0.0027603641915374642,7Ph heptanoate
Paenibacillus polysaccharolyticus,-1.7339292889841524,0.002290420341528169,7Ph heptanoate
Pet28_1,-1.3981689858008226,0.0022118492877410993,7Ph heptanoate
Streptococcus pneumoniae,-2.543917788317285,1.6010705299997408e-4,7Ph heptanoate
Microlunatus phosphovorus,-2.1399785650647773,5.633396309258172e-5,7Ph heptanoate
Saccharothrix espanaensis,-2.150479413448268,-7.857105378705042e-4,7Ph heptanoate
Brachybacterium paraconglomeratum,-1.9263987213081677,-0.0013520151142224464,7Ph heptanoate
Pet28_2,-1.1179767014750641,-0.0022118492877411583,7Ph heptanoate
Leifsonia sp. Leaf325,-3.3265843155505084,-0.002463869648944864,7Ph heptanoate
Geodermatophilus obscurus,-1.5212735198852891,-0.0029338134989542186,7Ph heptanoate
Kocuria flava,-1.8195025555520992,-0.0034082047671024646,7Ph heptanoate
Brevibacterium antiquum,-2.706120069418301,-0.003949307307334044,7Ph heptanoate
Intrasporangiaceae bacterium URHB0013,-2.705591320817346,-0.004951458861297134,7Ph heptanoate
Brevibacterium mcbrellneri,-2.244853626355506,-0.005068574205621257,7Ph heptanoate
Nesterenkonia alba,-2.865169625216416,-0.006639995281362246,7Ph heptanoate
Shewanella putrefaciens,-1.604301874962648,-0.0076643839260198635,7Ph heptanoate
Sandaracinus amylolyticus,-2.438617751515508,-0.007787429161195825,7Ph heptanoate
Bacillus sp. 7586-K,-2.2660332198480404,-0.008456024354742225,7Ph heptanoate
Cephaloticoccus capnophilus,-2.100277945811623,-0.010310597718659213,7Ph heptanoate
Nakamurella multipartita,-1.793653173013732,-0.011188221564733394,7Ph heptanoate
Bacteriovorax sp. BAL6 X,-2.093646351208967,-0.01308282169190044,7Ph heptanoate
Bacteroides luti,-1.4913127463563012,-0.014044946482613561,7Ph heptanoate
Desulfobulbus elongatus,-2.1361636686167538,-0.015001141382474803,7Ph heptanoate
Chloroflexi bacterium RBG 13 51 36,-0.9748044284327869,-0.0164939914044288,7Ph heptanoate
Desulfobacter curvatus,-1.3480712912540853,-0.016545877949382518,7Ph heptanoate
Frankiales bacterium YIM 75000,-2.1887074431398807,-0.02300352908705024,7Ph heptanoate
Pelobacter propionicus DSM 2379,-1.620119858809967,-0.02385743336971707,7Ph heptanoate
Streptomyces ambofaciens,-1.6464979899492904,-0.025299879319430337,7Ph heptanoate
Streptomyces avermitilis,-1.9713077613595342,-0.02611672178427301,7Ph heptanoate
Agrococcus casei,-1.0530443966472773,-0.02763625631506029,7Ph heptanoate
Nonomuraea candida,-1.977845466023701,-0.028260377327217843,7Ph heptanoate
Clostridium combesii,-0.018056072092004903,-0.02968948102251439,7Ph heptanoate
Legionella brunensis,-2.3690255407933054,-0.04244912366298882,7Ph heptanoate
Enhygromyxa salina,-0.7220329477211386,-0.04688023460203587,7Ph heptanoate
