org,max_slope,r2,intercept
Actinoplanes atraurantiacus,0.087594796157326,0.9011817217018865,-1.4202670954764778
Cellulomonas cellasea,0.059446010914724685,0.9133228368447561,-1.3170644818240218
Granulosicoccus antarcticus,0.13509497135698945,0.9077564898805334,0.8947197193670504
Humibacillus sp. DSM 29435,0.09199109407415827,0.914233046837275,-3.2946834260693887
Kocuria varians,0.06806102702904179,0.9500919575454808,0.17756642250593116
Kytococcus sedentarius,0.11621872713548022,0.9098295188341264,-1.5165968940449777
Mobilicoccus massiliensis,0.1288316866610652,0.9540235262435076,0.626636736025879
Mycolicibacterium obuense,0.07558656756789912,0.9059188961840459,-0.7664281677407457
Nesterenkonia alba,0.08245458319998147,0.918201667115887,-1.5387703617041124
Plantibacter sp. VKM Ac-1784,0.062215294646179246,0.9190425583878213,-1.8736665145870157
XC,0.1128543113716161,0.9269915124044213,-1.2951261873067292
