org,max_slope,r2,intercept
Actinoplanes atraurantiacus,0.22153783185869824,0.9973830531015374,-2.0565750124915327
Agreia bicolorata,0.04461267962450436,0.9500803298025335,-2.4783544713050607
Arenimonas oryziterrae,0.17463127542445936,0.9942197342151465,-2.386156284560062
Arthrobacter globiformis,0.18246177859021986,0.9975288615570644,-2.5509100711676647
Bacillus sp. 7586-K,0.025435316753723538,0.9014416072825971,-2.3978200493343826
Brevibacterium antiquum,0.02624231919763003,0.9209022581989815,-2.9815453684438338
Cellulomonas cellasea,0.0344228919166835,0.950533293242884,-2.837307500130526
Chlamydiales bacterium SCGC AG-110-P3,0.06799824702013162,0.9913741862035288,-0.8750156500392556
Chromatocurvus halotolerans,0.2807981585815076,0.9972221858896242,-3.185197409836268
Clavibacter michiganensis,0.030671620282450844,0.9032648944084408,-2.2327825221414757
Dermabacter hominis,0.20966586782373872,0.9978206678648152,-2.7205242971520383
Dermatophilus congolensis,0.049454694287944016,0.9705476641910246,-2.2657314369916635
Granulosicoccus antarcticus,0.7932124672138806,0.9943179664366315,0.735436031808061
Humibacillus sp. DSM 29435,0.037344130215345425,0.9415819537401147,-2.2586646381934816
Kocuria varians,0.13121528093081652,0.9931619424829695,-1.570337615324464
Kytococcus sedentarius,0.9226764791425666,0.9997060002981255,-3.8548915201134424
Leifsonia sp. Leaf325,0.12173300221491377,0.9941360652488735,-2.897226510354925
Luteimonas tolerans,0.12630140988538513,0.9959229385331253,-2.370371832649222
Micromonospora peucetia,0.23752495561618162,0.9991798791389576,-1.9457236459700247
Mobilicoccus massiliensis,0.4426592651961112,0.9992859188651563,-3.756054909155207
Mycolicibacterium obuense,0.0346532008333235,0.9410285197929417,-2.209457756299843
Nakamurella multipartita,0.06105120885860223,0.9714737328009407,-2.6406679046319463
Nesterenkonia alba,0.032160337119611956,0.9614574793818171,-2.2700032067775036
Okibacterium fritillariae,0.14061556967239544,0.99699029213701,-2.597360615946956
Plantibacter sp. VKM Ac-1784,0.16469574876060905,0.9981576189676203,-2.627481337300805
Pseudoxanthomonas,0.17988968860918417,0.9981110478989603,-2.370804813412505
Sandaracinus amylolyticus,0.04082824350627563,0.9753940411541787,-3.1301683185299716
Sanguibacter keddieii,0.09154687312874009,0.9819731153892169,-2.7908495854659017
Sediminihabitans luteus,0.09650219977916667,0.9801671584490651,-2.2680299199797322
Silanimonas lenta,0.07645887538181932,0.9927511738565863,-3.131999735035092
Subtercola sp. Z020,0.061111089176928604,0.9852653231754254,-2.380415143886061
Thermomonas haemolytica,0.2600648286699068,0.9987127135857035,-2.2912376888917123
Xanthomonas translucens,0.14855293617547696,0.9969479270797317,-2.6815072029662192
XC,0.10470396091855094,0.9942579199534591,-2.4023101519731935
