rep1,,,,,rep2,,,
org,max_slope,r2,intercept,,org,max_slope,r2,intercept
Kytococcus sedentarius,0.893564993,0.999705872,-2.992718307,,Kytococcus sedentarius,1.080822302,0.999560059,-2.375348775
Granulosicoccus antarcticus,0.720078331,0.997598862,0.9540462,,Granulosicoccus antarcticus,0.965325707,0.993613933,3.179740329
Mobilicoccus massiliensis,0.444233594,0.999423852,-2.648198975,,Mobilicoccus massiliensis,0.60622486,0.999847451,-3.237606513
Chromatocurvus halotolerans,0.38939838,0.996863602,-2.216830857,,Actinoplanes atraurantiacus,0.462667468,0.999832623,-1.167143688
Thermomonas haemolytica,0.356552336,0.998846361,-1.367876932,,Micromonospora peucetia,0.334159673,0.999713127,-0.583637955
Arthrobacter globiformis,0.331942926,0.997702513,-1.507693764,,Chromatocurvus halotolerans,0.296386085,0.999957684,-1.740953658
Pseudoxanthomonas,0.303750537,0.999013379,-1.268145301,,Thermomonas haemolytica,0.288238578,0.999451818,-0.78176625
Dermabacter hominis,0.302447861,0.997747978,-1.288560095,,Kocuria varians,0.264873635,0.999414105,-0.467303379
Micromonospora peucetia,0.284853051,0.998532351,-1.202731118,,Dermabacter hominis,0.250617018,0.999881838,-1.814233786
Arenimonas oryziterrae,0.257276021,0.994774477,-1.048463268,,Xanthomonas translucens,0.24368209,0.999827361,-1.917472026
Okibacterium fritillariae,0.209785418,0.996003584,-1.833390048,,Plantibacter sp. VKM Ac-1784,0.239674621,0.999561448,-0.797583287
Sediminihabitans luteus,0.20450772,0.996311569,-1.12767341,,Luteimonas tolerans,0.234472817,0.999276486,-1.670591258
Leifsonia sp. Leaf325,0.201238623,0.986640726,-2.702391536,,Chlamydiales bacterium SCGC AG-110-P3,0.224076506,0.999362968,0.381871402
Plantibacter sp. VKM Ac-1784,0.199274684,0.998230725,-1.865073609,,Arenimonas oryziterrae,0.216925089,0.999754142,-1.341438793
Xanthomonas translucens,0.19624007,0.993130417,-1.276002298,,XC,0.209969485,0.999694868,-1.940576697
Luteimonas tolerans,0.178258179,0.987614973,-1.628998949,,Arthrobacter globiformis,0.190149844,0.999756949,-1.599403041
Sanguibacter keddieii,0.177821472,0.994425662,-1.75559424,,Okibacterium fritillariae,0.189310648,0.999517795,-0.871351123
Sandaracinus amylolyticus,0.160309785,0.99584394,-2.405945909,,Pseudoxanthomonas,0.175510116,0.999753586,-0.972941375
XC,0.148011283,0.998434939,-1.055747087,,Leifsonia sp. Leaf325,0.170292501,0.996232147,-1.382042543
Silanimonas lenta,0.144389844,0.995075196,-2.44782384,,Silanimonas lenta,0.164386501,0.99823673,-2.058028985
Nakamurella multipartita,0.140877582,0.982445986,-1.444755905,,Subtercola sp. Z020,0.157287382,0.997816343,-1.206315938
Kocuria varians,0.138744915,0.980946894,-0.464786276,,Mycolicibacterium obuense,0.149765016,0.995894924,-0.840413948
Cellulomonas cellasea,0.137885149,0.978093587,-1.78162915,,Dermatophilus congolensis,0.139193568,0.9949119,-1.189626867
Brevibacterium antiquum,0.135529166,0.983508064,-2.053090692,,Sanguibacter keddieii,0.136095837,0.966024265,-1.503701762
Actinoplanes atraurantiacus,0.133918811,0.985802482,-1.168512922,,Clavibacter michiganensis,0.134912448,0.991196231,-1.38997721
