variable,intercept,minutes,cmpnd
Kytococcus sedentarius,-1.7465371209917895,0.7836002823048934,heptynoate
Mobilicoccus massiliensis,-3.616811107246724,0.43584946722070034,heptynoate
Granulosicoccus antarcticus,6.252356439080373,0.36954280030996584,heptynoate
Micromonospora peucetia,-1.869276020829831,0.23261109653484982,heptynoate
Chromatocurvus halotolerans,-2.4431386826178594,0.22898587865364167,heptynoate
Thermomonas haemolytica,-1.7325276389643278,0.22041910480060695,heptynoate
Dermabacter hominis,-2.3663658533113012,0.18702089015532875,heptynoate
Actinoplanes atraurantiacus,-1.3332601130440074,0.17052679964284775,heptynoate
Arthrobacter globiformis,-2.308185553772521,0.16607337893330243,heptynoate
Arenimonas oryziterrae,-2.150539558956247,0.15718280868962123,heptynoate
Pseudoxanthomonas,-2.0244867630598367,0.15570375884490925,heptynoate
Xanthomonas translucens,-2.6179073776899298,0.14446525798965565,heptynoate
Plantibacter sp. VKM Ac-1784,-2.2385449230204078,0.13372140086684692,heptynoate
Kocuria varians,-1.377452625455862,0.12000805423182762,heptynoate
Okibacterium fritillariae,-2.2919523444391046,0.11849646203629693,heptynoate
Luteimonas tolerans,-2.2238520516257445,0.1157417520394902,heptynoate
XC,-2.3311875720762383,0.09999450847829935,heptynoate
Leifsonia sp. Leaf325,-2.471271544900664,0.08744780512013216,heptynoate
Sanguibacter keddieii,-2.5657257181520725,0.07503289828278085,heptynoate
Sediminihabitans luteus,-1.945294952342421,0.07205201894778376,heptynoate
Chlamydiales bacterium SCGC AG-110-P3,-0.8047018273208104,0.06373256696097154,heptynoate
Silanimonas lenta,-2.7057012164737673,0.061597788747261864,heptynoate
Dermatophilus congolensis,-2.2147293459462225,0.04676498524407781,heptynoate
Subtercola sp. Z020,-2.1334385536009974,0.043774343203835143,heptynoate
Agreia bicolorata,-2.4404268200496295,0.04212932736994755,heptynoate
Humibacillus sp. DSM 29435,-2.1790412345483317,0.03013096262307618,heptynoate
Cellulomonas cellasea,-2.701649693796835,0.029366217378835713,heptynoate
Sandaracinus amylolyticus,-2.8338692651733983,0.028853675353440505,heptynoate
Mycolicibacterium obuense,-1.9945857663825481,0.025863033313197777,heptynoate
Nesterenkonia alba,-2.059171485307486,0.023716865276701565,heptynoate
Nakamurella multipartita,-2.147024985067824,0.021731781876758078,heptynoate
Bacillus sp. 7586-K,-2.258070333511654,0.01993381699402236,heptynoate
