org,max_slope,r2,intercept
Actinoplanes atraurantiacus,0.10780827084295062,0.9933656002240193,-3.705173430170875
Arenimonas oryziterrae,0.1566050152310732,0.993661557757994,-5.5375888078983415
Arthrobacter globiformis,0.1354826778530705,0.9981216208974751,-4.197285339261799
Auraticoccus monumenti,0.06265742681904533,0.9874747973508727,-3.0841801896169816
Bacteriovorax sp. BAL6 X,0.08130665067283897,0.9864812645866865,-3.934756164522441
Brachybacterium alimentarium,0.08580474908688927,0.9969831676871811,-4.2287499985506996
Cephaloticoccus capnophilus,0.03962373095784573,0.9560007651671983,-4.24060888515436
Chromatocurvus halotolerans,0.13167851213674134,0.9947892384073816,-4.9736192114095665
Dermabacter hominis,0.17490756259928858,0.9970110749410178,-4.09562622808863
Dermatophilus congolensis,0.06333454744639552,0.9447044963487317,-5.387859349722382
Enhygromyxa salina,0.05441023671229449,0.9066955200056733,-5.119789728205983
Geodermatophilus obscurus,0.04157335139430037,0.9030550727454035,-4.311556401845932
Granulosicoccus antarcticus,0.39283257546507744,0.999621250118317,-2.001336186913134
Halobacteriovorax marinus,0.048933559857347514,0.9764984033293905,-4.64239533740833
Humibacillus sp. DSM 29435,0.1111318432372992,0.9846442388115884,-5.019432682896709
Intrasporangiaceae bacterium URHB0013,0.1478563616460193,0.9971026639767858,-4.077934132792844
Isoptericola variabilis,0.02036289557849182,0.9548596744191491,-3.158067499717195
Kocuria flava,0.07747697698767124,0.9819332096600292,-3.551237476042817
Kocuria varians,0.23375792506918205,0.9953034412539072,-2.2976744351682807
Kytococcus sedentarius,1.300251899474089,0.9913079704800107,-3.892492358789804
Leifsonia sp. Leaf325,0.06865527785548878,0.9226143855259296,-5.314439878959736
Luteimonas tolerans,0.11726129220388685,0.9935669064786562,-3.999630465724179
Microlunatus phosphovorus,0.0464111695751548,0.9384101523003577,-4.519147788699289
Micromonospora peucetia,0.14535947933266513,0.9914400037155158,-4.544590248436036
Mobilicoccus massiliensis,0.414984507221654,0.9990632374474002,-6.262684127368262
Pelobacter propionicus DSM 2379,0.031191028350451042,0.9082946064421608,-4.330610274841757
Pseudoxanthomonas,0.16822099640420457,0.9955603389129434,-5.134319994818916
Sandaracinus amylolyticus,0.05811295027983403,0.9354797782623098,-4.827940302739854
Sanguibacter keddieii,0.03824166282804869,0.9046193675503544,-5.078139273178604
Silanimonas lenta,0.08385454892387016,0.9698811406639226,-3.576630079295015
Streptomyces ambofaciens,0.04862630477815605,0.9326290597473937,-5.4220765507395905
Thermomonas haemolytica,0.3229500164725163,0.9991863978032721,-4.85678343850403
Xanthomonas translucens,0.23911633770496854,0.9976978412785245,-4.265606694616126
XC,0.18016742171910793,0.99508995113946,-4.214393070180554
