org,max_slope,r2,intercept
Actinoplanes atraurantiacus,0.06682063649261274,0.9780609823289154,-3.051922606852803
Arenimonas oryziterrae,0.0951601563385926,0.9893614205025805,-3.794839616864624
Arthrobacter globiformis,0.1628539605020778,0.9868016765425041,-3.2627554298933426
Auraticoccus monumenti,0.05299737167711189,0.903256691335096,-2.5653678770055883
Brachybacterium alimentarium,0.049591639766046546,0.9750147957323829,-2.50494291020612
Granulosicoccus antarcticus,0.5276188100224025,0.9990270372470587,0.2801570441825265
Intrasporangiaceae bacterium URHB0013,0.10904264031791878,0.9868760639443213,-2.836883963198452
Kocuria varians,0.11994400639062984,0.9887150273653168,-2.2336775604728585
Kytococcus sedentarius,0.8938464988874358,0.99981831001664,-7.165259266539168
Micromonospora avicenniae,0.020395332017911928,0.9330195113194051,-2.07168794776619
Micromonospora peucetia,0.1616431175991795,0.9983870609701951,-4.18138955877944
Mobilicoccus massiliensis,0.5673044696608885,0.999588298156027,-6.99249932590953
Paenibacillus polysaccharolyticus,0.049945694766789873,0.9133267657349174,-2.1672701981448133
Sediminihabitans luteus,0.024511693894882208,0.9104824219193561,-2.6918826906164197
Silanimonas lenta,0.07259639493890342,0.9117599562266504,-5.5898732709894245
Thermomonas haemolytica,0.16279474133825234,0.998363303804087,-3.5448591465888617
Xanthomonas translucens,0.11250129148176427,0.9935041221535978,-4.178422300677124
XC,0.1623020882945133,0.9990923993858807,-2.5722612396713074
