org,max_slope,r2,intercept
Kytococcus sedentarius,2.0061207090994415,0.9910156552279406,-4.212235383195335
Granulosicoccus antarcticus,0.6446218587080035,0.9997164447684634,-2.590553950944577
Chromatocurvus halotolerans,0.6347209461111357,0.9997577949205061,-5.280129721872912
Mobilicoccus massiliensis,0.6067387126167753,0.999933971199044,-7.982215887309643
XC,0.44529191122809947,0.9999719474353195,-3.8009598678053242
Xanthomonas translucens,0.384705970133267,0.9976380353375405,-2.524034840201087
Arenimonas oryziterrae,0.24044909304009363,0.9998247668053695,-3.6645423218869153
Luteimonas tolerans,0.2336112223625476,0.9988816181205858,-2.753557975026691
Thermomonas haemolytica,0.22722933067950668,0.9999277914189223,-3.3844998591528612
Kocuria flava,0.20436869679318886,0.9922985883409955,-2.3923355278571163
Arthrobacter globiformis,0.1761246079876605,0.992742640155167,-2.8637803138814633
Pseudoxanthomonas,0.14625133163412554,0.9929113702182188,-2.296220719484861
Kocuria varians,0.13885104654691136,0.985664408817262,-3.158351210785268
Intrasporangiaceae bacterium URHB0013,0.1256542645600528,0.9938384634060516,-2.7439914873422406
Auraticoccus monumenti,0.11684794344866814,0.9881762490630069,-2.559015202242414
Silanimonas lenta,0.10284684838131646,0.9996916970798139,-2.804538119903062
Dermabacter hominis,0.09729225015249716,0.9531406096473101,-2.84843547169768
Mycolicibacterium obuense,0.09558444553647252,0.9583862930934854,-2.6305301252851216
Halobacteriovorax marinus,0.0882065360763097,0.9757274846310678,-3.0685372580413275
Micromonospora peucetia,0.08806321111384581,0.9701269744669806,-2.3307438930383295
Actinoplanes atraurantiacus,0.08349495471531543,0.9697106103319059,-2.421200086753311
Dermatophilus congolensis,0.07446124885335528,0.9355944151956803,-3.1807836840242247
Leifsonia sp. Leaf325,0.07054490937269847,0.9339900071877694,-2.8528694743339016
Okibacterium fritillariae,0.06700290808514317,0.9097181904529684,-3.0079755068135765
Humibacillus sp. DSM 29435,0.0628882116944097,0.9292838271948682,-2.068710786347197
Cellulomonas cellasea,0.06116347417142735,0.9336779207976423,-1.8021668741918544
Brachybacterium paraconglomeratum,0.05567721231711612,0.957792475125928,-2.662356128658893
Brachybacterium alimentarium,0.0534529540388801,0.9428343817272634,-2.597526075384435
Brevibacterium antiquum,0.051332107442421775,0.9050196292036633,-3.276240528011838
Bacteriovorax sp. BAL6 X,0.046081696792164936,0.954432550559822,-2.4893901125655296
Sediminihabitans luteus,0.04553923902283977,0.9034071159892382,-2.1433546686970244
Saccharothrix espanaensis,0.04365545312379001,0.9439257837401422,-1.9339925785913312
Chloroflexi bacterium RBG 13 51 36,0.04340569274616317,0.9485587884472041,-2.501282455969963
Subtercola sp. Z020,0.04325148234351228,0.9275957893261042,-2.872085904744241
Paenibacillus polysaccharolyticus,0.03851631586211267,0.9529250235111777,-1.7406895364950332
Rothia mucilaginosa,0.028327543846963073,0.9940778309014263,-2.5045601829596413
Sandaracinus amylolyticus,0.027359949163663043,0.994737807839016,-2.4102850139790104
Geodermatophilus obscurus,0.024641008103589906,0.9302100917495749,-1.6380622111574896
Agreia bicolorata,0.01627191883972152,0.9900826542122001,-2.1783870389525806
Isoptericola variabilis,0.004654735173350321,0.9339683037150369,-1.7539715877633573
