org,max_slope,r2,intercept
Dermabacter hominis,0.15700229359470946,0.9142242899708215,-2.803144837203593
Okibacterium fritillariae,0.13319371092407833,0.9018998769487369,-2.8948022916163536
Arenimonas oryziterrae,0.11940125849415276,0.951116261875837,-4.1801019314059396
Mobilicoccus massiliensis,0.10466417758857195,0.9165332104837067,-3.530344384953025
Kytococcus sedentarius,0.07906277335625636,0.9231826396623025,-1.4980014242850466
Silanimonas lenta,0.0772513222306672,0.9232107009036177,-2.3700392562559043
Pet28_2,0.07391882200506689,0.9847345914578528,-2.597874439387642
Pseudoxanthomonas,0.07190573324662308,0.9012316682247284,-2.6219372608127443
Sanguibacter keddieii,0.06650754314096499,0.9191229123424803,-3.2225072792728717
Mycolicibacterium obuense,0.05883435452549235,0.9286832204051331,-3.7697868822543033
Psychromonas aquimarina,0.056878250315464056,0.9197619471920281,-2.0591392310984244
Kocuria flava,0.05651442589096571,0.9787937372310044,-2.4761521564022666
Agreia bicolorata,0.05574184691725703,0.9783234569303347,-3.8001059495813942
Brachybacterium alimentarium,0.05466352392416574,0.9622387796594265,-3.628050968351418
Xanthomonas translucens,0.05444325672740633,0.9700520084001287,-2.6849128578086603
Actinoplanes atraurantiacus,0.05332548289310428,0.9419164975978381,-4.208159150503616
Streptococcus pneumoniae,0.04921273269689328,0.9380052900202852,-3.6664826628307954
Micromonospora avicenniae,0.049031916341344524,0.9077281187907464,-2.763513179637389
Thermomonas haemolytica,0.047886746089535116,0.9026560424841241,-2.3421836747910785
Chlamydiales bacterium SCGC AG-110-P3,0.04770702559068667,0.9552239793850023,-2.8502118824813087
Chromatocurvus halotolerans,0.04717334337764243,0.9163711519743163,-2.052285743294771
Sediminihabitans luteus,0.04552955832719841,0.9126941471102934,-2.3618740279819974
Wenzhouxiangella sediminis,0.041904464362619215,0.9668559313924651,-2.660589222488886
Brachybacterium paraconglomeratum,0.03767664921287724,0.9396807767341331,-4.137739398942596
Nesterenkonia alba,0.03616107939636781,0.9446080812698091,-3.534174404120559
Isoptericola variabilis,0.030417694430116476,0.9452752494045757,-3.406155328535281
Intrasporangiaceae bacterium URHB0013,0.028208447322319627,0.9178697512895759,-4.251029064619194
Kocuria varians,0.02743258077851009,0.9527572117107287,-3.505999928355949
Granulosicoccus antarcticus,0.024380619868185776,0.9102060077474282,-1.1820418287423033
Arthrobacter globiformis,0.02341626597192525,0.9052818737077548,-1.9533956346600598
Auraticoccus monumenti,0.014158468567824496,0.9364390292284327,-2.69780561188764
