org,max_slope,r2,intercept
Actinoplanes atraurantiacus,0.20992231571349887,0.9906451809493608,-4.00900555249547
Agreia bicolorata,0.035979157565512475,0.948935695541151,-2.726037848138946
Agrococcus casei,0.06065768897161703,0.9311901684905514,-4.504305874755469
Allokutzneria albata,0.03586139654441049,0.9532775777954136,-4.081967368800942
Arenimonas oryziterrae,0.12213464010079333,0.9810195830249622,-5.362741932420383
Arthrobacter globiformis,0.23078690953294456,0.9849068658668197,-5.691373688642404
Auraticoccus monumenti,0.07186587906069757,0.9553303853411278,-4.594883093696
Bacillus sp. 7586-K,0.0674821300816097,0.9459944055658587,-5.041940017854108
Bacteriovorax sp. BAL6 X,0.0850323209684261,0.9628732245444818,-3.969137115614745
Brachybacterium alimentarium,0.04692713378538369,0.9272533401706923,-2.5164675492412147
Cellulomonas cellasea,0.08176603544226864,0.9318177931820167,-5.329444687141906
Chromatocurvus halotolerans,0.13420767725882735,0.98963172130549,-4.562260125231896
Dermabacter hominis,0.27311376601011733,0.9949116575948321,-5.313044882144022
Enhygromyxa salina,0.05338499623291354,0.929996953134982,-4.060219567323229
Granulosicoccus antarcticus,0.5102483744547224,0.9964791660924147,-1.6432676783984639
Halobacteriovorax marinus,0.0890020070023489,0.9696759416142691,-5.386977910311702
Intrasporangiaceae bacterium URHB0013,0.14652826581068332,0.9843971701542333,-6.303287811734329
Kocuria flava,0.06051333675220166,0.9421366980775874,-3.6904708541472906
Kocuria varians,0.05835375157489542,0.9227686142667202,-2.5280271230222944
Kytococcus sedentarius,0.5968565404850995,0.992475511464148,-10.24568241245482
Luteimonas tolerans,0.1370681304488215,0.9829631473275037,-5.033473253686378
Micromonospora peucetia,0.04375328432955355,0.9388291171993403,-2.770326122053614
Mobilicoccus massiliensis,0.4460654523352774,0.9991918558716892,-6.2578789087478945
Mycolicibacterium obuense,0.06584740450910748,0.9338762487404452,-5.014358613965458
Nakamurella multipartita,0.04367730947722973,0.9023865806491544,-4.172367946209819
Nonomuraea candida,0.03052036442604168,0.9116679595264389,-3.68582309255638
Okibacterium fritillariae,0.06829696037278324,0.9411742875390764,-3.244766282360551
Paenibacillus polysaccharolyticus,0.039411321519243786,0.9127943729008392,-3.7985830690041738
Plantibacter sp. VKM Ac-1784,0.0856648116140225,0.9568768654196472,-4.218807574692794
Pseudoxanthomonas,0.16348965159198972,0.983063151781162,-4.781091758627907
Psychromonas aquimarina,0.08185530589374919,0.9094875722414991,-3.959357885873124
Rothia mucilaginosa,0.05692352497989824,0.9249936964599483,-4.827842884005405
Sandaracinus amylolyticus,0.08466194356334718,0.9452323249297053,-5.370253945943906
Sediminihabitans luteus,0.07612047079083485,0.9379237534158316,-4.913341184068085
Silanimonas lenta,0.28711403192210044,0.9879926022772334,-6.567874033694858
Subtercola sp. Z020,0.0970686369478369,0.9568130912089409,-5.880871431556168
Thermomonas haemolytica,0.22528822959600373,0.9760514715312227,-5.260045458286652
Xanthomonas translucens,0.20975707040969435,0.9948294334595921,-4.5841009959037
XC,0.06720482187062747,0.983550537478162,-4.263330104402123
