org,max_slope,r2,intercept
Kytococcus sedentarius,1.3070880353457608,0.9985996814247463,-2.6572258809236313
Granulosicoccus antarcticus,0.8251174873091731,0.9819861407432272,1.4555987241140373
Xanthomonas translucens,0.445075010654749,0.9947877207940623,-1.9116581720468009
XC,0.43462107015632256,0.9991451339914139,-2.1856502601967245
Mobilicoccus massiliensis,0.4316064797644444,0.9985530874589094,-4.478586808496937
Dermabacter hominis,0.33942296117429827,0.9954969732888166,-1.0990539396350734
Thermomonas haemolytica,0.3242024762430366,0.9982945551374948,-2.3140715650024575
Kocuria varians,0.28070115004571544,0.9991090030446939,-0.9867284820603643
Pseudoxanthomonas,0.26155259973841327,0.9918151624112215,-1.4833502836450851
Arthrobacter globiformis,0.2445703252347364,0.9965237574206438,-0.6486542181372457
Luteimonas tolerans,0.2306911609060601,0.9990024571097937,-0.7969543614610375
Chromatocurvus halotolerans,0.2228547012168951,0.9787525611504192,-1.348302289519524
Intrasporangiaceae bacterium URHB0013,0.22210351250179003,0.9949036162363394,-0.05780064853625433
Arenimonas oryziterrae,0.1629759857005645,0.9987482255615446,-1.6407003453516704
Micromonospora peucetia,0.14784893831815385,0.9876931095804268,-0.9048919425640425
Halobacteriovorax marinus,0.09264824745153652,0.9880788092955657,-1.7941801254295309
Actinoplanes atraurantiacus,0.09141757657785382,0.9276627673921819,-0.46566784368537395
Okibacterium fritillariae,0.09128848522746755,0.9614731130493789,-0.7683317354768135
Kocuria flava,0.08408518787591154,0.953853789513207,-0.17115514858975545
Cellulomonas cellasea,0.0781900162082702,0.9015655772552986,-0.7653171450849349
Silanimonas lenta,0.07624135153815309,0.9710539113141083,-1.6912721892258658
Brachybacterium alimentarium,0.06938229778762724,0.9571753453949906,-1.5756038803968686
Plantibacter sp. VKM Ac-1784,0.06790082086176537,0.9219296927163165,-0.7733478565203956
Brachybacterium paraconglomeratum,0.044913954402976915,0.942977248209343,-0.8101179908761444
Humibacillus sp. DSM 29435,0.04219565939627099,0.92428112975219,-1.6479343787390341
Subtercola sp. Z020,0.04035149724789516,0.9116123260700929,-0.7789860749286965
Mycolicibacterium obuense,0.02827223517603356,0.9673939853917688,-0.6209167899842439
