org,max_slope,r2,intercept
Actinoplanes atraurantiacus,0.39284485185369533,0.9982218058357767,-6.492678019180002
Kytococcus sedentarius,0.1988182330288882,0.998186200095593,-5.791416323703867
Granulosicoccus antarcticus,0.13082646070827003,0.9982771576918357,-5.726531044078776
Mobilicoccus massiliensis,0.0833685060861852,0.9983475898532188,-6.836901894515755
Kocuria varians,0.08048885667065714,0.9911944842285776,-5.843719902834793
Chromatocurvus halotolerans,0.05157173950141044,0.9868274053354549,-6.163228662711732
Xanthomonas translucens,0.03764518241868677,0.9813522730828195,-6.366863714753589
Rothia mucilaginosa,0.035311037081248796,0.935192150749914,-5.855486947898806
Saccharothrix espanaensis,0.033291051683173,0.9877504346478475,-6.061706393023498
XC,0.030658049326055394,0.9864911292733504,-7.27903204963596
Thermomonas haemolytica,0.027965635633700144,0.9713896476016252,-5.981967379417275
Silanimonas lenta,0.026964644652122467,0.977425764051685,-6.405373062048458
Brachybacterium paraconglomeratum,0.026162591626415935,0.9309023084967549,-6.066624031272025
Geodermatophilus obscurus,0.025286724517535334,0.9699722104039128,-6.167221824577088
Nesterenkonia alba,0.02522371249531392,0.9357407655260106,-6.337871883329428
Arenimonas oryziterrae,0.02496986406293527,0.95436074090363,-6.165263050857744
Citricoccus muralis,0.02330994736326871,0.9210266617890536,-6.194521333118735
Okibacterium fritillariae,0.02223784281375509,0.974968374790113,-6.692866313606338
Clavibacter michiganensis,0.02206861052550275,0.9619710441131577,-6.548744316209306
Cellulomonas cellasea,0.02171934388804581,0.9806937814325152,-6.500532017664055
Agreia bicolorata,0.021693238907411132,0.948686420260687,-6.406212922287499
Subtercola sp. Z020,0.02145919425344513,0.9811702434233912,-6.130984510769184
Mycolicibacterium obuense,0.02107662126138523,0.9745466929681408,-6.286127310852774
Streptomyces ambofaciens,0.020868681588053998,0.9509239564346216,-6.198712532768218
Kocuria flava,0.020865981072815783,0.9314609314637045,-5.623533392898805
Intrasporangiaceae bacterium URHB0013,0.020386189532185604,0.9685965107311786,-6.442665377142706
Frankiales bacterium YIM 75000,0.02011973869536274,0.9540464801819412,-6.078067914679215
Micromonospora peucetia,0.01943470799663912,0.9423812954189894,-5.896069390724769
Leifsonia sp. Leaf325,0.019349191680766854,0.9553504496893761,-6.335492729404683
Pseudoxanthomonas,0.019242971414736174,0.9342202122150135,-6.145818440971897
Luteimonas tolerans,0.019107945652832633,0.9470521849133589,-5.594548762848608
Sanguibacter keddieii,0.018805487946169024,0.9608090057447795,-6.387142783848
Sandaracinus amylolyticus,0.018597548272837525,0.9439401179658646,-6.394084908353325
Desulfobulbus elongatus,0.018050243851255622,0.9523004243212604,-6.201922545214536
Bacteriovorax sp. BAL6 X,0.01793052100903446,0.914567507207292,-6.142512110148754
Enhygromyxa salina,0.01786930933030492,0.9049253731805991,-6.311069269591585
Halobacteriovorax marinus,0.017222085844914286,0.9514057581928305,-6.085081152752481
Nakamurella multipartita,0.01709426145697908,0.9277069473814173,-6.251439192619777
Dermatophilus congolensis,0.016835912165870444,0.9332775691501146,-6.6079756170976305
Clostridium combesii,0.01666397936238016,0.9150176371528634,-6.047489080466816
Isoptericola variabilis,0.016471342608731003,0.9417520806247822,-6.609919087897293
Agrococcus casei,0.01634351822079588,0.9045417862810659,-5.93659152204375
Psychromonas aquimarina,0.0163354166750817,0.9373230706818103,-6.167895153043122
Chloroflexi bacterium RBG 13 51 36,0.01618058713476553,0.9389629083196621,-6.2816264521226595
Desulfobacter curvatus,0.016101372021115532,0.9123889632352864,-6.253748133148325
Microlunatus phosphovorus,0.01572329988778579,0.9258886691548425,-6.593278513000309
Bacteroides luti,0.015424442868106214,0.9414637276228051,-5.83876895823167
Paenibacillus polysaccharolyticus,0.014941950812237854,0.9414514672682747,-6.445612539439188
Brevibacterium mcbrellneri,0.014938350125253571,0.914903825957334,-6.181212293853778
Streptomyces avermitilis,0.014653895853510327,0.9151881888484776,-6.131984601579014
Kineosphaera limosa,0.01443425394748069,0.9258740726157004,-6.084524846613439
Anaerocolumna xylanovorans,0.014169603454149953,0.9064139192302763,-6.019391119586445
