org,max_slope,r2,intercept
Actinomycetospora chiangmaiensis,0.0739068286247214,0.96824897189101,-3.276481779718866
Actinoplanes atraurantiacus,0.1841018152040399,0.9972111963218055,-3.0166299076475296
Agreia bicolorata,0.15812337928210723,0.9636850280844188,-5.871424866930544
Agrococcus casei,0.07559210227014243,0.9677906100849692,-3.249333970247048
Anaerocolumna xylanovorans,0.05151549065101676,0.905263078663637,-2.583967426413736
Arenimonas oryziterrae,0.21890023201856154,0.9991905075746865,-4.627505027068848
Arthrobacter globiformis,0.1619868977753514,0.9445819527318708,-3.4743810563668753
Auraticoccus monumenti,0.1377816295891907,0.9821607404205599,-4.215545425594849
Bacillus sp. 7586-K,0.10629325326418275,0.9735536323486822,-3.9114669032346288
Bacteriovorax sp. BAL6 X,0.11413175014785498,0.9881790268556977,-2.870166507438258
Bacteroides luti,0.0529007779445885,0.9787629778754177,-2.2596598880851806
Brachybacterium alimentarium,0.1406935990173332,0.9982861646309809,-5.074198080160155
Brachybacterium paraconglomeratum,0.13425631226968748,0.9917044397815101,-3.7454566216277856
Brevibacterium antiquum,0.08025813202311095,0.9593933638673875,-3.77459860788865
Brevibacterium mcbrellneri,0.08324334652654568,0.9656367002590059,-3.638711796551584
Cellulomonas cellasea,0.08444329193394302,0.990866028160188,-3.8366180792502798
Cephaloticoccus capnophilus,0.1225734043037169,0.9105666948257639,-4.798090259769818
Chlamydiales bacterium SCGC AG-110-P3,0.09696565215413311,0.9872976867307204,-3.37790009553707
Chloroflexi bacterium RBG 13 51 36,0.03925681270187893,0.9396827955447967,-2.5231415313225223
Chromatocurvus halotolerans,0.2561291115053911,0.9992468718234763,-4.515329238888146
Citricoccus muralis,0.08362167326327283,0.9842002578227619,-3.924473954779143
Clavibacter michiganensis,0.12682289249806658,0.9425709684409952,-5.172400618716182
Clostridium combesii,0.10752122287430055,0.9931542848446235,-3.7632876575224214
Dermabacter hominis,0.17837723488467316,0.9957623291202691,-2.4369473636322434
Dermatophilus congolensis,0.11610236113006688,0.9460334656163203,-5.354569400846201
Desulfobacter curvatus,0.0627328147036077,0.9229718104057718,-2.7502261043628753
Enhygromyxa salina,0.11201401210136033,0.9955663405484079,-4.388326736727191
Frankiales bacterium YIM 75000,0.12282944361039086,0.9968017668929828,-4.505340521359373
Geodermatophilus obscurus,0.12197406851371648,0.984883807932007,-3.760069969519148
Granulosicoccus antarcticus,0.33642673217778996,0.9988050427334269,-1.142434284154512
Halobacteriovorax marinus,0.06665238160229293,0.9739804233488222,-3.011648605613956
Humibacillus sp. DSM 29435,0.15479996360493156,0.9956983676522292,-5.747371912105926
Intrasporangiaceae bacterium URHB0013,0.219019971793822,0.98751666726838,-5.438470042309283
Isoptericola variabilis,0.06799563259178386,0.9732818738109315,-3.335954870115117
