org,max_slope,r2,intercept
Kytococcus sedentarius,1.411050808785896,0.9034133091400465,4.26842616438136
Granulosicoccus antarcticus,0.8091272345954791,0.9927733451621249,-1.1433912852231212
Dermabacter hominis,0.6456533722435963,0.9631751555298752,-0.12038994640431744
Arthrobacter globiformis,0.6322644958026234,0.9930045001744919,-0.5891205938494997
Auraticoccus monumenti,0.4972959832928131,0.9609110544352213,-1.416927470576337
Actinoplanes atraurantiacus,0.4824674427184016,0.9960804381931446,-1.3815357272959856
Mobilicoccus massiliensis,0.46504750670380224,0.9992413329347328,-1.6781065387842093
Halobacteriovorax marinus,0.2118105856320626,0.9318032669268218,-2.843874570835613
Intrasporangiaceae bacterium URHB0013,0.19849369239776105,0.9817207308415388,-1.9359263906807278
Luteimonas tolerans,0.17257973799587747,0.9809889508730233,-1.3781765109846313
Brachybacterium paraconglomeratum,0.16732496390882892,0.9885925117622869,-2.8737476016044505
Bacteriovorax sp. BAL6 X,0.15213650730105865,0.9771416758793363,-1.8275916646395212
Brachybacterium alimentarium,0.14184290874697636,0.9763585758761423,-2.7722512801970716
Mycolicibacterium obuense,0.13277302470631744,0.958182605274161,-2.312878449619238
XC,0.1253587544191121,0.9370348585501913,-1.916850840912675
Brevibacterium antiquum,0.12269537577225169,0.998817594498686,-3.27277451058901
Psychromonas aquimarina,0.12175959408551683,0.9591798182076465,-2.855151939880876
Chloroflexi bacterium RBG 13 51 36,0.0673042982382259,0.9918670438472413,-3.754102219201778
Desulfobulbus elongatus,0.06690839060153077,0.9933780183591557,-2.9197328734666868
Micromonospora avicenniae,0.06525277684807645,0.9355881210213284,-1.4100890659425074
Rothia mucilaginosa,0.06287733102790363,0.9817453377688304,-1.7648463028238475
Shewanella putrefaciens,0.048300731676845336,0.9717501564759483,-2.7503443909666045
Agrococcus casei,0.0434058736231553,0.9539203511963085,-2.267433051807048
Pelobacter propionicus DSM 2379,0.042326125523076644,0.9128353611581677,-3.0414924675521986
Plantibacter sp. VKM Ac-1784,0.035919620129277595,0.9505185204036175,-1.4002513610306808
Streptococcus pneumoniae,0.035415737682574985,0.9252326803631219,-3.0544014559486996
Saccharothrix espanaensis,0.034911855235871335,0.9133887314099313,-2.3746640353459556
Kocuria flava,0.03264438422570584,0.9539968805023621,-0.7545619971837471
Paenibacillus polysaccharolyticus,0.030484888025549522,0.9169044956385553,-2.2697125200183237
Clostridium combesii,0.025698004781868837,0.9332137365453613,-2.880921927869425
