variable,minutes,mean
Actinomycetospora chiangmaiensis,0,-2.196263350726549
Actinomycetospora chiangmaiensis,1,-2.4014659931874074
Actinomycetospora chiangmaiensis,2,-2.503450472807233
Actinomycetospora chiangmaiensis,3,-2.518665899202126
Actinomycetospora chiangmaiensis,4,-2.483711541267912
Actinomycetospora chiangmaiensis,5,-2.3648667242915833
Actinomycetospora chiangmaiensis,6,-2.332790960540186
Actinomycetospora chiangmaiensis,7,-2.21435737130426
Actinomycetospora chiangmaiensis,8,-2.0527448693260695
Actinomycetospora chiangmaiensis,9,-2.0132670062474274
Actinomycetospora chiangmaiensis,10,-1.9277316362437031
Actinomycetospora chiangmaiensis,11,-1.9651533606203324
Actinomycetospora chiangmaiensis,12,-1.9137498930700172
Actinomycetospora chiangmaiensis,13,-1.9330775968689358
Actinomycetospora chiangmaiensis,14,-1.9219744478780671
Actinomycetospora chiangmaiensis,15,-1.9092263879255893
Actinomycetospora chiangmaiensis,16,-1.912927437589212
Actinomycetospora chiangmaiensis,17,-1.9203295369164572
Actinomycetospora chiangmaiensis,18,-1.9322551413881306
Actinomycetospora chiangmaiensis,19,-1.9367786465325583
Actinomycetospora chiangmaiensis,20,-1.9548726671102692
Actinomycetospora chiangmaiensis,21,-1.9552838948506714
Actinomycetospora chiangmaiensis,22,-1.9577512612930863
Actinomycetospora chiangmaiensis,23,-1.9647421328799297
Actinomycetospora chiangmaiensis,24,-1.988593341823276
Actinomycetospora chiangmaiensis,25,-1.985303519900056
Actinomycetospora chiangmaiensis,26,-1.9828361534576406
Actinomycetospora chiangmaiensis,27,-2.0017526295161563
Actinomycetospora chiangmaiensis,28,-1.9910607082656913
Actinomycetospora chiangmaiensis,29,-2.000930174035352
Actinomycetospora chiangmaiensis,30,-2.014911917209037
Actinomycetospora chiangmaiensis,31,-2.0033975404777666
Actinomycetospora chiangmaiensis,32,-2.013678233987829
Actinomycetospora chiangmaiensis,33,-2.02848243264232
Actinomycetospora chiangmaiensis,34,-2.041641720335201
Actinomycetospora chiangmaiensis,35,-2.042464175816006
Actinomycetospora chiangmaiensis,36,-2.032594710046346
Actinomycetospora chiangmaiensis,37,-2.0457539977392263
Actinomycetospora chiangmaiensis,38,-2.027248749421113
Actinomycetospora chiangmaiensis,39,-2.036706987450371
Actinomycetospora chiangmaiensis,40,-2.0457539977392263
Actinomycetospora chiangmaiensis,41,-2.0317722545655403
Actinomycetospora chiangmaiensis,42,-2.0432866312968114
Actinomycetospora chiangmaiensis,43,-2.0457539977392263
Actinomycetospora chiangmaiensis,44,-2.035062076488761
Actinomycetospora chiangmaiensis,45,-2.0416417203352015
Actinoplanes atraurantiacus,0,-1.985303519900056
Actinoplanes atraurantiacus,1,-2.155963032167102
Actinoplanes atraurantiacus,2,-2.2271054312567387
Actinoplanes atraurantiacus,3,-2.237386124766801
Actinoplanes atraurantiacus,4,-2.2048991332750028
Actinoplanes atraurantiacus,5,-2.0613806518745226
Actinoplanes atraurantiacus,6,-1.9404796961961805
Actinoplanes atraurantiacus,7,-1.8072419083057643
Actinoplanes atraurantiacus,8,-1.6900420022910454
Actinoplanes atraurantiacus,9,-1.5851789284884026
Actinoplanes atraurantiacus,10,-1.4515299128575827
Actinoplanes atraurantiacus,11,-1.4605769231464385
Actinoplanes atraurantiacus,12,-1.3770976918447264
Actinoplanes atraurantiacus,13,-1.2989644211682474
Actinoplanes atraurantiacus,14,-1.254551825204775
Actinoplanes atraurantiacus,15,-1.187521703519164
Actinoplanes atraurantiacus,16,-1.164081722316221
Actinoplanes atraurantiacus,17,-1.099930194813427
Actinoplanes atraurantiacus,18,-1.0649758368792128
Actinoplanes atraurantiacus,19,-1.0078151809632625
Actinoplanes atraurantiacus,20,-0.9617576740381797
Actinoplanes atraurantiacus,21,-0.906653156824242
Actinoplanes atraurantiacus,22,-0.8573058279759393
Actinoplanes atraurantiacus,23,-0.8026125385024039
Actinoplanes atraurantiacus,24,-0.7697143192702023
Actinoplanes atraurantiacus,25,-0.7146098020562643
Actinoplanes atraurantiacus,26,-0.6664961564291692
Actinoplanes atraurantiacus,27,-0.6089242727728164
Actinoplanes atraurantiacus,28,-0.5747923703194074
Actinoplanes atraurantiacus,29,-0.5340808240195578
Actinoplanes atraurantiacus,30,-0.4962478719025253
Actinoplanes atraurantiacus,31,-0.4304514334381222
Actinoplanes atraurantiacus,32,-0.39261848132108995
Actinoplanes atraurantiacus,33,-0.36054271756969336
Actinoplanes atraurantiacus,34,-0.3095504777597805
Actinoplanes atraurantiacus,35,-0.2795308527103967
Actinoplanes atraurantiacus,36,-0.23265089030450928
Actinoplanes atraurantiacus,37,-0.20016389881270985
Actinoplanes atraurantiacus,38,-0.16438708539769065
Actinoplanes atraurantiacus,39,-0.1232643113574386
Actinoplanes atraurantiacus,40,-0.10887134044335023
Actinoplanes atraurantiacus,41,-0.07144961606672112
Actinoplanes atraurantiacus,42,-0.03238298072848145
Actinoplanes atraurantiacus,43,0.0033938326865381174
Actinoplanes atraurantiacus,44,0.012852070715796082
Actinoplanes atraurantiacus,45,0.050685022832828
Agreia bicolorata,0,-2.1839265185144736
Agreia bicolorata,1,-2.416270191841898
Agreia bicolorata,2,-2.5219557211253463
Agreia bicolorata,3,-2.519899582423334
Agreia bicolorata,4,-2.4824778580467046
Agreia bicolorata,5,-2.3932414383793574
Agreia bicolorata,6,-2.319220445106903
Agreia bicolorata,7,-2.2155910545254676
Agreia bicolorata,8,-2.0404080371139934
Agreia bicolorata,9,-1.956517578071879
Agreia bicolorata,10,-1.8882537731650608
Agreia bicolorata,11,-1.8738608022509728
Agreia bicolorata,12,-1.8434299494611857
Agreia bicolorata,13,-1.8319155727299155
Agreia bicolorata,14,-1.851654504269236
Agreia bicolorata,15,-1.8512432765288338
Agreia bicolorata,16,-1.857411692634872
Agreia bicolorata,17,-1.8500095933076262
Agreia bicolorata,18,-1.8298594340279024
Agreia bicolorata,19,-1.8195787405178399
Agreia bicolorata,20,-1.8018959476805314
Agreia bicolorata,21,-1.7887366599876506
Agreia bicolorata,22,-1.7776335109967825
Agreia bicolorata,23,-1.779689649698795
Agreia bicolorata,24,-1.7813345606604054
Agreia bicolorata,25,-1.758305807197864
Agreia bicolorata,26,-1.7447352917645804
Agreia bicolorata,27,-1.706902339647549
Agreia bicolorata,28,-1.6949767351758758
Agreia bicolorata,29,-1.6999114680607064
Agreia bicolorata,30,-1.6892195468102402
Agreia bicolorata,31,-1.6554988720972337
Agreia bicolorata,32,-1.6497416837315981
Agreia bicolorata,33,-1.6460406340679752
Agreia bicolorata,34,-1.6357599405579124
Agreia bicolorata,35,-1.6180771477206042
Agreia bicolorata,36,-1.598338216181283
Agreia bicolorata,37,-1.5744870072379369
Agreia bicolorata,38,-1.5633838582470687
Agreia bicolorata,39,-1.5543368479582136
Agreia bicolorata,40,-1.5263733616108413
Agreia bicolorata,41,-1.5123916184371557
Agreia bicolorata,42,-1.4979986475230678
Agreia bicolorata,43,-1.4720912998777091
Agreia bicolorata,44,-1.4564646457424133
Agreia bicolorata,45,-1.4408379916071175
Agrococcus casei,0,-1.8409625830187708
Agrococcus casei,1,-1.97461159864959
Agrococcus casei,2,-2.0260150661999052
Agrococcus casei,3,-2.0251926107191003
Agrococcus casei,4,-1.9853035199000564
