org,log_slope
Kytococcus sedentarius,2.876188023
Mobilicoccus massiliensis,2.579352746
Granulosicoccus antarcticus,2.540086017
XC,2.436777287
Luteimonas tolerans,2.253609632
Thermomonas haemolytica,2.182416952
Xanthomonas translucens,2.172278078
Chromatocurvus halotolerans,2.170992661
Arenimonas oryziterrae,2.140577394
Kocuria flava,2.088565626
Pseudoxanthomonas,2.079050022
Intrasporangiaceae bacterium URHB0013,1.949892433
Actinoplanes atraurantiacus,1.926718708
Arthrobacter globiformis,1.870370307
Silanimonas lenta,1.780831704
Auraticoccus monumenti,1.747392207
Micromonospora peucetia,1.731453495
Mycolicibacterium obuense,1.72521293
Dermabacter hominis,1.709892928
Kocuria varians,1.702918601
Halobacteriovorax marinus,1.698694896
Sediminihabitans luteus,1.665149078
Leifsonia sp. Leaf325,1.636006454
Humibacillus sp. DSM 29435,1.63342088
Dermatophilus congolensis,1.632732598
Brachybacterium alimentarium,1.630734982
Plantibacter sp. VKM Ac-1784,1.613379406
Okibacterium fritillariae,1.58885845
Sanguibacter keddieii,1.510988433
Agreia bicolorata,1.510217891
Brevibacterium antiquum,1.488540345
Geodermatophilus obscurus,1.488308181
Bacteriovorax sp. BAL6 X,1.487421798
Subtercola sp. Z020,1.4739173
Paenibacillus polysaccharolyticus,1.46009614
Micromonospora avicenniae,1.438206633
Chloroflexi bacterium RBG 13 51 36,1.398579054
Sandaracinus amylolyticus,1.313268667
Saccharothrix espanaensis,1.296013398
Cellulomonas cellasea,1.282699416
Brachybacterium paraconglomeratum,1.247387026
Actinomycetospora chiangmaiensis,1.23775849
Nesterenkonia alba,1.150324494
Rothia mucilaginosa,1.113153994
Psychromonas aquimarina,1.077809022
Chlamydiales bacterium SCGC AG-110-P3,0.996162252
Virgibacillus salinus,0.99072595
Desulfobacter curvatus,0.963631121
Isoptericola variabilis,0.946708873
Cephaloticoccus capnophilus,0.885299333
