PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
ATSm2,VC.3,HybRatio,MDEO.12,LipinskiFailures,khs.dsN,C1SP1,ATSc5,nG,nAtomP,PetitjeanNumber,MDEC.24,nAtomP,topoShape,BCUTw.1l
SP.4,VC.5,ALogp2,O,MDEC.12,MDEN.12,C2SP1,C1SP2,MDEO.11,khs.sCl,topoShape,PetitjeanNumber,LipinskiFailures,PetitjeanNumber,WTPT.2
Zagreb,SC.3,nAromBond,WTPT.4,MDEC.24,MDEN.13,khs.tCH,khs.sCl,topoShape,Cl,C3SP2,MDEC.12,BCUTw.1l,MDEC.12,nAtomP
ATSp1,SPC.4,naAromAtom,ATSc1,MLogP,Ncharges,khs.tsC,Cl,PetitjeanNumber,C3SP3,ATSc4,topoShape,MDEC.33,LipinskiFailures,MW
ATSp2,SC.5,AROMATIC,ATSc2,khs.sCH3,BCUTp.1l,RCCH,nG,C1SP1,BCUTc.1h,BCUTw.1l,BCUTw.1l,ALogp2,MDEC.24,BCUTp.1l
SP.7,VPC.4,khs.aasC,khs.ssO,BCUTw.1l,MDEN.22,C3SP3,BCUTw.1h,C2SP1,BCUTw.1l,ATSc3,nAtomP,XLogP,MolIP,BCUTc.1h
SP.6,Kier2,C2SP2,C1SP3,C4SP3,N,RCOR,BCUTc.1l,khs.tCH,nG,MolIP,MDEC.11,MolIP,MDEC.11,LipinskiFailures
nB,MDEC.11,khs.aaCH,BCUTc.1h,khs.ssssC,WTPT.5,RCOOR,MDEO.11,khs.tsC,RCOOR,MDEC.12,BCUTp.1h,FMF,XLogP,MLogP
SP.3,Kier3,MolIP,MLogP,MDEC.34,BCUTc.1l,ATSc3,khs.aaN,RCCH,RCOR,C1SP1,MDEC.14,RCOR,FMF,SP.2
ATSm3,VC.6,ALogP,nHBAcc,XLogP,MDEN.23,BCUTc.1h,khs.aaO,khs.aaN,C1SP1,C2SP1,SPC.5,RCOOR,nAtomP,PetitjeanNumber
ATSp5,SC.6,khs.ssCH2,WTPT.3,N,ATSc3,ATSc4,khs.ssO,khs.aaO,C2SP1,khs.tCH,SPC.6,khs.aaCH,khs.aaCH,MDEC.33
SP.5,VC.4,C2SP3,RCOR,WTPT.5,ALogP,nAtomLAC,C3SP3,MDEO.22,khs.tCH,khs.tsC,VPC.4,MDEC.24,HybRatio,VAdjMat
SP.2,SC.4,bpol,RCOOR,bpol,MDEO.22,C3SP2,MDEC.13,ROR,khs.tsC,RCCH,LipinskiFailures,C3SP3,khs.aaN,BCUTc.1l
MW,MDEC.14,nAtomLAC,XLogP,VC.6,BCUTw.1l,topoShape,khs.dsN,khs.dssC,RCCH,khs.aaN,ATSm5,SC.5,khs.aaO,VABC
MW1,C4SP3,nAtomLC,ATSc4,SC.6,khs.ssO,PetitjeanNumber,Ncharges,khs.dO,BCUTw.1h,khs.aaO,VPC.5,khs.sCl,SP.7,RCOR
VAdjMat,khs.ssssC,fragC,ATSc5,VC.4,O,ATSc5,MDEN.12,SCH.5,ATSc4,MDEC.22,ATSp5,Cl,WPATH,O
ATSm5,MDEC.34,khs.aaN,C3SP2,SC.4,ROR,MDEO.22,MDEN.13,ATSc4,ATSc5,khs.sCl,khs.aaN,SCH.5,C2SP2,nAtomLAC
ATSp4,MDEC.22,khs.aaO,MDEO.22,khs.dsN,ATSc4,BCUTc.1l,MDEO.22,khs.sCl,SC.3,Cl,khs.aaO,C3SP2,SPC.6,HybRatio
WTPT.1,SPC.6,FMF,ROR,MDEN.12,ATSc1,C1SP3,BCUTp.1l,Cl,C3SP2,nAtomLAC,VPC.6,BCUTp.1h,RCOOR,RCOOR
MW2,nRotB,nAtom,MDEC.22,MDEN.13,BCUTw.1h,ROR,khs.dssC,MDEN.22,MDEO.11,C1SP2,VP.7,C2SP2,RCOR,SPC.6
