org,cmpnd,log_slope
Actinomycetospora chiangmaiensis,heptynoate,1.598283366486443
Actinoplanes atraurantiacus,7Ph heptanoate,1.6985839354097092
Actinoplanes atraurantiacus,Azido,1.8108033307488873
Actinoplanes atraurantiacus,Biotin,1.251859254807923
Actinoplanes atraurantiacus,Butoxy,2.0363037439859912
Actinoplanes atraurantiacus,ClPh propionate,1.7206295566968401
Actinoplanes atraurantiacus,decanoate,1.2253092817258628
Actinoplanes atraurantiacus,dimethyl,1.4874952708635851
Actinoplanes atraurantiacus,heptynoate,2.217150981857935
Actinoplanes atraurantiacus,hexanoate,1.6998114838852345
Actinoplanes atraurantiacus,TMA,1.935562473881014
Agreia bicolorata,heptynoate,1.8392373996313183
Agreia bicolorata,hexanoate,0.989590019815005
Agrococcus casei,Butoxy,1.3217431331794713
Anaerocolumna xylanovorans,Butoxy,1.468848209724024
Anaerocolumna xylanovorans,heptynoate,1.479544915982714
Arenimonas oryziterrae,Azido,1.9729569164855418
Arenimonas oryziterrae,Butoxy,2.101892638944637
Arenimonas oryziterrae,dodecanoate,1.8309722914770563
Arenimonas oryziterrae,heptynoate,2.146706633946075
Arenimonas oryziterrae,hexanoate,2.159174393663191
Arthrobacter globiformis,7Ph heptanoate,1.4452858569315736
Arthrobacter globiformis,Azido,1.910035022393131
Arthrobacter globiformis,Butoxy,2.2902050459395564
Arthrobacter globiformis,decanoate,1.658964842664435
Arthrobacter globiformis,heptynoate,2.170722683582341
Arthrobacter globiformis,hexanoate,2.023971289863808
Auraticoccus monumenti,Azido,1.5751238059271588
Auraticoccus monumenti,Butoxy,2.114256509773592
Auraticoccus monumenti,heptynoate,1.440129072738726
Auraticoccus monumenti,hexanoate,1.8457723234939607
Bacillus sp. 7586-K,heptynoate,1.7702764827905204
Bacteriovorax sp. BAL6 X,Azido,1.6882773215912654
Bacteriovorax sp. BAL6 X,Butoxy,1.9081537428908213
Bacteriovorax sp. BAL6 X,heptynoate,1.4246429925427244
Bacteriovorax sp. BAL6 X,hexanoate,1.4416797124200453
Bacteroides luti,Butoxy,1.4458426531364836
Brachybacterium alimentarium,Azido,1.7116625760546307
Brachybacterium alimentarium,heptynoate,1.6526623943840304
Brachybacterium alimentarium,hexanoate,1.5061229615623861
Brachybacterium paraconglomeratum,Butoxy,1.6289472139596963
Brachybacterium paraconglomeratum,dodecanoate,1.639611902926009
Brachybacterium paraconglomeratum,heptynoate,1.646313523623347
Brachybacterium paraconglomeratum,hexanoate,1.523828732991866
Brevibacterium antiquum,heptynoate,1.7678497101562527
Brevibacterium antiquum,hexanoate,1.4885403449936487
Brevibacterium mcbrellneri,Butoxy,1.384961017769499
Brevibacterium mcbrellneri,heptynoate,1.04440526351383
Cellulomonas cellasea,7Ph heptanoate,1.6336035821397903
Cellulomonas cellasea,ClPh propionate,1.5522739672719343
Cellulomonas cellasea,heptynoate,1.8027865828089311
Cellulomonas cellasea,hexanoate,1.5646433963624466
Cephaloticoccus capnophilus,Azido,1.3761066165411728
Cephaloticoccus capnophilus,Butoxy,1.6146631480429852
Chlamydiales bacterium SCGC AG-110-P3,heptynoate,1.9165546515576075
Chloroflexi bacterium RBG 13 51 36,heptynoate,1.2485577531065948
Chloroflexi bacterium RBG 13 51 36,hexanoate,1.415697942248988
Chromatocurvus halotolerans,7Ph heptanoate,1.7326814024156563
Chromatocurvus halotolerans,Azido,1.8976661610946872
Chromatocurvus halotolerans,Butoxy,1.5858982312964462
Chromatocurvus halotolerans,decanoate,1.3463529744506386
Chromatocurvus halotolerans,dodecanoate,1.7737039300362771
Chromatocurvus halotolerans,heptynoate,2.31272312342835
Chromatocurvus halotolerans,hexanoate,2.580734080870883
Chromatocurvus halotolerans,TMA,0.9941820685701992
Citricoccus muralis,heptynoate,1.744904069079256
Clavibacter michiganensis,7Ph heptanoate,1.616824203209161
Clavibacter michiganensis,Butoxy,1.3810779454016129
Clavibacter michiganensis,heptynoate,1.7937800212516548
Clostridium combesii,Butoxy,1.9023936879915908
Dermabacter hominis,7Ph heptanoate,1.8384614989751962
Dermabacter hominis,Azido,2.0209598381592557
Dermabacter hominis,Biotin,0.8000452349372857
Dermabacter hominis,Butoxy,2.315961738564802
Dermabacter hominis,decanoate,1.8887409606828927
Dermabacter hominis,heptynoate,2.216080002652176
