PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
ATSm2,Kier3,HybRatio,MDEO.12,MLogP,khs.dsN,C3SP3,ATSc5,nAtomP,BCUTw.1l,MDEC.24,LipinskiFailures,topoShape,LipinskiFailures,BCUTw.1l
SP.6,SPC.4,nAromBond,C1SP3,XLogP,MDEN.12,RCOR,khs.sCl,C1SP1,C3SP2,PetitjeanNumber,nAtomP,PetitjeanNumber,fragC,nAtomP
SP.4,SC.3,naAromAtom,khs.ssO,BCUTp.1l,MDEN.13,RCOOR,Cl,C2SP1,ATSc4,topoShape,BCUTw.1l,LipinskiFailures,WPATH,MolIP
ATSp1,Kier2,AROMATIC,WTPT.4,khs.dsN,Ncharges,ATSc3,BCUTw.1h,khs.tCH,topoShape,MDEC.12,MolIP,MDEC.12,nAtomP,ALogP
ATSp2,VC.3,khs.aasC,O,MDEN.12,BCUTp.1l,C1SP1,khs.aaN,khs.tsC,PetitjeanNumber,BCUTw.1l,MDEC.33,MolIP,ALogp2,MDEO.11
Zagreb,nRotB,C2SP2,BCUTc.1h,MDEN.13,MDEN.22,C2SP1,khs.aaO,RCCH,ATSc3,nAtomP,ALogp2,MDEC.24,topoShape,BCUTp.1l
SP.7,VC.5,MolIP,C3SP3,Ncharges,N,khs.tCH,C1SP2,BCUTc.1h,C1SP2,MDEC.11,MDEC.24,XLogP,PetitjeanNumber,khs.dsN
SP.3,khs.ssCH2,khs.aaCH,RCOR,nHBAcc,BCUTc.1l,khs.tsC,C1SP1,khs.sCl,khs.aaN,BCUTp.1h,XLogP,nAtomP,BCUTw.1l,MDEN.12
ATSm3,SC.5,ALogp2,RCOOR,N,WTPT.5,RCCH,C2SP1,Cl,khs.aaO,SPC.6,khs.aaCH,khs.aaCH,HybRatio,MDEN.13
nB,nAtomLC,H,MDEO.22,WTPT.5,MDEN.23,BCUTc.1h,khs.tCH,BCUTw.1l,khs.sCl,SPC.5,C3SP3,MDEC.11,MDEC.24,Ncharges
ATSm5,MDEC.22,C2SP3,ATSc1,BCUTw.1l,MDEO.22,BCUTc.1l,khs.tsC,C3SP3,Cl,MDEC.14,RCOR,C2SP2,ECCEN,MW
SP.5,VPC.4,bpol,ATSc2,WTPT.3,khs.ssO,MDEO.22,RCCH,RCOR,MDEC.22,VPC.4,RCOOR,khs.aaN,Kier3,C1SP2
ATSp5,LipinskiFailures,ALogP,ROR,C,ATSc3,ROR,ATSc4,RCOOR,nAtomP,VPC.6,SC.5,khs.aaO,MDEC.12,HybRatio
SP.2,MDEC.14,FMF,khs.sCH3,ALogP,ROR,ATSc4,topoShape,ATSc5,BCUTw.1h,VPC.5,MDEC.11,BCUTw.1l,MDEC.22,ATSc4
ATSp4,SC.6,C1SP2,C3SP2,MDEN.22,BCUTw.1h,nAtomLAC,PetitjeanNumber,BCUTc.1l,khs.aaCH,ATSp5,BCUTp.1h,MDEC.22,BCUTp.1h,nAtomLAC
VAdjMat,VC.4,nAtomLAC,ATSc4,MDEN.23,O,topoShape,ATSm1,BCUTw.1h,MDEC.12,ATSm5,SCH.5,ATSm5,MDEC.11,BCUTc.1h
ATSp3,VC.6,khs.ssCH2,MDEC.23,ATSc2,ATSc1,PetitjeanNumber,SCH.5,ALogp2,C1SP1,LipinskiFailures,khs.sCl,SPC.6,VAdjMat,topoShape
WTPT.1,SC.4,khs.aaN,MDEC.12,TopoPSA,WTPT.4,C1SP3,BCUTp.1l,C3SP2,C2SP1,SC.3,Cl,C3SP3,MDEC.23,MLogP
MW2,SPC.6,khs.aaO,BCUTc.1l,MDEC.22,ATSc4,nAtomP,C2SP2,LipinskiFailures,khs.tCH,khs.aaN,C2SP2,RCOR,XLogP,MDEC.33
MW,MDEC.11,fragC,VCH.5,C3SP2,BCUTw.1l,SCH.5,khs.dsN,Ncharges,khs.tsC,khs.aaO,C3SP2,RCOOR,Kier2,khs.aaN
MW1,C4SP3,VP.2,nAtomLC,ATSc1,C1SP2,C3SP2,MDEN.12,khs.dsN,RCCH,VP.7,topoShape,FMF,VP.6,khs.aaO
WPOL,khs.ssssC,MDEC.12,ATSc5,khs.aaCH,ALogP,VCH.5,MDEN.13,MDEN.12,nAtomLAC,SC.6,PetitjeanNumber,SP.7,VPC.6,ALogp2
