org,substrate,activity,gene,orgs,genus,master_well,avg_activity,saved
Kytococcus sedentarius,7Ph.heptanoate,2.262395887,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,azido,2.881498113,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,biotin,1.648880025,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,butoxy,2.968362067,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,ClPh.propionate,1.647777817,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,cyclopentyl,2.410141566,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,decanoate,2.226835522,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,dimethyl,1.507704048,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,dodecanoate,1.837055197,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,heptanoate,2.957403527,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,heptynoate,2.556073615,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,hexanoate,2.876188023,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,oxadiazole,1.473384036,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,TMA,1.820128608,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Kytococcus sedentarius,benzoate,0,WP_012802190.1 3-oxoacyl-ACP synthase III [Kytococcus sedentarius],Kytococcus sedentarius,Kytococcus,2-A7,2.071588537,1
Granulosicoccus antarcticus,7Ph.heptanoate,2.170555071,WP_088919872.1_3-oxoacyl-ACP_synthase_III_[Granulosicoccus_antarcticus],Granulosicoccus antarcticus,Granulosicoccus_antarcticus,1-C5,2.010927347,0
Granulosicoccus antarcticus,azido,2.313627907,WP_088919872.1_3-oxoacyl-ACP_synthase_III_[Granulosicoccus_antarcticus],Granulosicoccus antarcticus,Granulosicoccus_antarcticus,1-C5,2.010927347,0
Granulosicoccus antarcticus,biotin,1.653274619,WP_088919872.1_3-oxoacyl-ACP_synthase_III_[Granulosicoccus_antarcticus],Granulosicoccus antarcticus,Granulosicoccus_antarcticus,1-C5,2.010927347,0
Granulosicoccus antarcticus,butoxy,2.576872405,WP_088919872.1_3-oxoacyl-ACP_synthase_III_[Granulosicoccus_antarcticus],Granulosicoccus antarcticus,Granulosicoccus_antarcticus,1-C5,2.010927347,0
Granulosicoccus antarcticus,ClPh.propionate,1.944253239,WP_088919872.1_3-oxoacyl-ACP_synthase_III_[Granulosicoccus_antarcticus],Granulosicoccus antarcticus,Granulosicoccus_antarcticus,1-C5,2.010927347,0
Granulosicoccus antarcticus,cyclopentyl,2.41902911,WP_088919872.1_3-oxoacyl-ACP_synthase_III_[Granulosicoccus_antarcticus],Granulosicoccus antarcticus,Granulosicoccus_antarcticus,1-C5,2.010927347,0
Granulosicoccus antarcticus,decanoate,2.089785847,WP_088919872.1_3-oxoacyl-ACP_synthase_III_[Granulosicoccus_antarcticus],Granulosicoccus antarcticus,Granulosicoccus_antarcticus,1-C5,2.010927347,0
Granulosicoccus antarcticus,dimethyl,1.636725801,WP_088919872.1_3-oxoacyl-ACP_synthase_III_[Granulosicoccus_antarcticus],Granulosicoccus antarcticus,Granulosicoccus_antarcticus,1-C5,2.010927347,0
Granulosicoccus antarcticus,dodecanoate,1.829617954,WP_088919872.1_3-oxoacyl-ACP_synthase_III_[Granulosicoccus_antarcticus],Granulosicoccus antarcticus,Granulosicoccus_antarcticus,1-C5,2.010927347,0
