org,max_slope,r2,intercept
Granulosicoccus antarcticus,0.08671219092567846,0.9970957674397289,-2.313153236589489
Kytococcus sedentarius,0.06474155375787473,0.9931791821214803,-2.2934449593995083
Actinoplanes atraurantiacus,0.029765145128778793,0.9827428120559356,-2.590728264148847
Kocuria flava,0.023366111546647538,0.9699460356766457,-2.280794897093607
Halobacteriovorax marinus,0.023318849491036114,0.993740266048743,-3.215186880083481
Subtercola sp. Z020,0.018459563931194127,0.9074644561086809,-3.077018747979974
Kocuria varians,0.014122648459689321,0.9003243718596746,-2.918603800000173
Intrasporangiaceae bacterium URHB0013,0.011948593901561872,0.90165642684501,-2.84038385422489
Isoptericola variabilis,0.010856591669275915,0.9295315130951887,-2.317610794676634
Dermabacter hominis,0.010517051111856697,0.9347252085302928,-2.4682772530127646
