org,max_slope,r2,intercept
Actinomycetospora chiangmaiensis,0.08327236409024093,0.9668957678357779,-0.6062027642095664
Actinoplanes atraurantiacus,0.3939232942355373,0.9964398411626813,-0.053071712251227615
Agrococcus casei,0.08919145375395297,0.9643463644443627,-1.4078530598811874
Arenimonas oryziterrae,0.2018116996749165,0.9930657516446667,2.211388943924176
Arthrobacter globiformis,0.21911884777907728,0.9947426404304976,0.2858017975073552
Auraticoccus monumenti,0.47922120231716236,0.9898147324520774,-0.11632119888589561
Bacteroides luti,0.2729983179498981,0.9942474247498632,-0.8133709024394762
Brachybacterium paraconglomeratum,0.2926010825776277,0.9964895712331658,0.64247008633099
Brevibacterium mcbrellneri,0.09697854509860761,0.9630427045755741,-1.544682307506583
Cephaloticoccus capnophilus,0.07994146952663125,0.9380393276471213,-1.7683548782588834
Chlamydiales bacterium SCGC AG-110-P3,0.2081809102256024,0.9924426087378794,-0.22179952673353448
Chromatocurvus halotolerans,0.27848979277098396,0.9982947685519812,2.645057912479543
Clostridium combesii,0.18779043404566773,0.9859957425069248,-0.7845406596287746
Dermabacter hominis,0.12722666870327906,0.96921018741433,0.8000198987867677
Desulfobacter curvatus,0.15738476813055555,0.9982099110742463,-1.3626159107402718
Desulfobulbus elongatus,0.0656276253208493,0.9277930172114651,-1.7157582526159392
Enhygromyxa salina,0.025926963089718338,0.9595742629620293,1.3502551730389056
Frankiales bacterium YIM 75000,0.06083383787457316,0.9592751679438493,-0.02226843955262109
Geodermatophilus obscurus,0.15616944173572422,0.9938099830494043,1.007563137755827
Granulosicoccus antarcticus,0.25031222524639474,0.9951185708820691,-0.28970026253360565
Halobacteriovorax marinus,0.16053561433937527,0.9945530685169741,0.10221249174011511
Intrasporangiaceae bacterium URHB0013,0.3143869335071825,0.9954132142172518,-1.6399954053233845
Isoptericola variabilis,0.09292745711583929,0.984554411266049,-1.0815079148100533
Kineosphaera limosa,0.08043660250230313,0.9767212608331505,1.1401837550880105
Kytococcus sedentarius,1.12807046089058,0.9023189124181433,7.780262051525567
Luteimonas tolerans,0.36097444530902034,0.9948495995692289,0.08115433624450105
Micromonospora avicenniae,0.1723962997111477,0.9907634381101275,-0.8425162298710621
Mobilicoccus massiliensis,0.3315815513896001,0.9939425272837457,-0.6073130623974369
Nakamurella multipartita,0.14640181848838285,0.9810978884246324,0.8290076839079126
Nonomuraea candida,0.05504978447695367,0.9785995073402822,-1.0399167448536297
Paenibacillus polysaccharolyticus,0.08685082514168639,0.9673445631741606,-0.3229416900366545
Pelobacter propionicus DSM 2379,0.02639959002104123,0.9451197774457724,-1.8113864350536246
