filename,org,max_slope,r2,intercept,cmpnd,n,gene,genus,master_well
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,Micromonospora peucetia,0.23752495561618162,0.9991798791389576,-1.9457236459700247,heptynoate,3,WP_091632192.1 3-oxoacyl-ACP synthase III [Micromonospora peucetia],Micromonospora,2-B7
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,Dermabacter hominis,0.20966586782373872,0.9978206678648152,-2.7205242971520383,heptynoate,2,WP_101686474.1 3-oxoacyl-ACP synthase III [Dermabacter hominis],Dermabacter,2-C9
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,Arthrobacter globiformis,0.18246177859021986,0.9975288615570644,-2.5509100711676647,heptynoate,2,WP_003805730.1 3-oxoacyl-ACP synthase III [Arthrobacter globiformis],Arthrobacter,2-D10
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,Plantibacter sp. VKM Ac-1784,0.16469574876060905,0.9981576189676203,-2.627481337300805,heptynoate,2,WP_086472704.1 3-oxoacyl-ACP synthase III [Plantibacter sp. VKM Ac-1784],Plantibacter,2-B9
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,Kocuria varians,0.13121528093081652,0.9931619424829695,-1.570337615324464,heptynoate,3,WP_068469535.1 3-oxoacyl-ACP synthase III [Kocuria varians],Kocuria,2-D8
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,Dermabacter hominis,0.11489741253801612,0.9662133733951503,-2.7522134343922824,7Ph heptanoate,2,WP_101686474.1 3-oxoacyl-ACP synthase III [Dermabacter hominis],Dermabacter,2-C9
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,Sediminihabitans luteus,0.09650219977916667,0.9801671584490651,-2.2680299199797322,heptynoate,2,WP_100422947.1 3-oxoacyl-ACP synthase III [Sediminihabitans luteus],Sediminihabitans,2-B5
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,Sanguibacter keddieii,0.09154687312874009,0.9819731153892169,-2.7908495854659017,heptynoate,2,WP_012868615.1 3-oxoacyl-ACP synthase III [Sanguibacter keddieii],Sanguibacter,2-E7
output//2019-10-18/2019-10-18_dodecanoate_all_data_calculated_slopes.csv,Humibacillus sp. DSM 29435,0.09125237816701406,0.9366347041056965,-4.683597028139564,dodecanoate,2,WP_070193933.1 3-oxoacyl-ACP synthase III [Humibacillus sp. DSM 29435],Humibacillus,2-A8
output//2019-10-18/2019-10-18_dodecanoate_all_data_calculated_slopes.csv,Micromonospora peucetia,0.08025368153538916,0.9124651029237535,-3.5265734235520227,dodecanoate,3,WP_091632192.1 3-oxoacyl-ACP synthase III [Micromonospora peucetia],Micromonospora,2-B7
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,Kocuria varians,0.07551888228282162,0.9743634203330255,-2.1475570927463488,7Ph heptanoate,3,WP_068469535.1 3-oxoacyl-ACP synthase III [Kocuria varians],Kocuria,2-D8
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,Cellulomonas cellasea,0.0716889685315545,0.9766748328140252,-4.225886690755946,7Ph heptanoate,2,WP_034630949.1 3-oxoacyl-ACP synthase III [Cellulomonas cellasea],Cellulomonas,2-G6
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,Clavibacter michiganensis,0.06897202116954443,0.9210760689487218,-5.126093523290264,7Ph heptanoate,2,WP_015490789.1 3-oxoacyl-ACP synthase III [Clavibacter michiganensis],Clavibacter,2-H8
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,Sediminihabitans luteus,0.06261317247798173,0.9221878057629893,-5.04913433156252,7Ph heptanoate,2,WP_100422947.1 3-oxoacyl-ACP synthase III [Sediminihabitans luteus],Sediminihabitans,2-B5
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,Micromonospora peucetia,0.06063988139114648,0.9738616751457065,-2.933183783704295,7Ph heptanoate,3,WP_091632192.1 3-oxoacyl-ACP synthase III [Micromonospora peucetia],Micromonospora,2-B7
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,Plantibacter sp. VKM Ac-1784,0.056053721247179056,0.9532192025172036,-4.313320860264935,7Ph heptanoate,2,WP_086472704.1 3-oxoacyl-ACP synthase III [Plantibacter sp. VKM Ac-1784],Plantibacter,2-B9
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,Sanguibacter keddieii,0.048471113132134654,0.941485938122965,-4.057240387819095,7Ph heptanoate,2,WP_012868615.1 3-oxoacyl-ACP synthase III [Sanguibacter keddieii],Sanguibacter,2-E7
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,Sandaracinus amylolyticus,0.0483225497453332,0.9056964304255263,-4.042376495068446,7Ph heptanoate,2,WP_053234550.1 3-oxoacyl-ACP synthase III [Sandaracinus amylolyticus],Sandaracinus,2-C5
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,Arthrobacter globiformis,0.04646592708090119,0.9027076579426384,-1.7879447265233752,7Ph heptanoate,2,WP_003805730.1 3-oxoacyl-ACP synthase III [Arthrobacter globiformis],Arthrobacter,2-D10
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,Sandaracinus amylolyticus,0.04082824350627563,0.9753940411541787,-3.1301683185299716,heptynoate,2,WP_053234550.1 3-oxoacyl-ACP synthase III [Sandaracinus amylolyticus],Sandaracinus,2-C5
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,Humibacillus sp. DSM 29435,0.037344130215345425,0.9415819537401147,-2.2586646381934816,heptynoate,2,WP_070193933.1 3-oxoacyl-ACP synthase III [Humibacillus sp. DSM 29435],Humibacillus,2-A8
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,Cellulomonas cellasea,0.0344228919166835,0.950533293242884,-2.837307500130526,heptynoate,2,WP_034630949.1 3-oxoacyl-ACP synthase III [Cellulomonas cellasea],Cellulomonas,2-G6
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,Nesterenkonia alba,0.032160337119611956,0.9614574793818171,-2.2700032067775036,heptynoate,2,WP_033420292.1 3-oxoacyl-ACP synthase III [Nesterenkonia alba],Nesterenkonia,2-B8
output//2019-10-25/2019-10-25_7Ph heptanoate_all_data_calculated_slopes.csv,Nesterenkonia alba,0.030730798197489854,0.9085165262093586,-3.8053096181096673,7Ph heptanoate,2,WP_033420292.1 3-oxoacyl-ACP synthase III [Nesterenkonia alba],Nesterenkonia,2-B8
output//2019-10-25/2019-10-25_heptynoate_all_data_calculated_slopes.csv,Clavibacter michiganensis,0.030671620282450844,0.9032648944084408,-2.2327825221414757,heptynoate,2,WP_015490789.1 3-oxoacyl-ACP synthase III [Clavibacter michiganensis],Clavibacter,2-H8
output//2019-10-25/2019-10-25_ClPh propionate_all_data_calculated_slopes.csv,Kocuria varians,0.030362828856342408,0.9072417475036598,-1.2074750540540184,ClPh propionate,3,WP_068469535.1 3-oxoacyl-ACP synthase III [Kocuria varians],Kocuria,2-D8
