org,max_slope,r2,intercept
Arenimonas oryziterrae,0.11293304577114846,0.9241769658946793,-3.5230275117036003
Brachybacterium paraconglomeratum,0.0726876540584219,0.9329828647617953,-4.06783988080921
Chromatocurvus halotolerans,0.09898119201626399,0.9588361601443047,-3.781955161573106
Humibacillus sp. DSM 29435,0.09125237816701406,0.9366347041056965,-4.683597028139564
Kytococcus sedentarius,0.08728180621698726,0.9738874046568555,-1.5961765360884586
Micromonospora peucetia,0.08025368153538916,0.9124651029237535,-3.5265734235520227
Mobilicoccus massiliensis,0.1019980481547647,0.9401518284987521,-3.8233949098216025
Pseudoxanthomonas,0.07079791660627016,0.9313564504823028,-3.419932424953019
Thermomonas haemolytica,0.1534385417961094,0.9745477045997628,-5.431184595762579
XC,0.07807022084629242,0.9617297506589977,-3.6554329925505287
