org,max_slope,r2,intercept
Actinomycetospora chiangmaiensis,0.028814244658722708,0.952352469917091,-0.7495585306082403
Actinoplanes atraurantiacus,0.2379902971982122,0.9954146800416731,-1.4668973632919267
Agreia bicolorata,0.04371147173251982,0.9298409840598816,-0.6376939575255174
Arenimonas oryziterrae,0.28072971426289944,0.9989222512236817,-1.1412182754628084
Arthrobacter globiformis,0.08042773797790188,0.9858646725246101,0.26564655726941644
Auraticoccus monumenti,0.12541299275669224,0.9991908634620017,-0.9146121084348504
Bacteriovorax sp. BAL6 X,0.06541960533797622,0.9810375290597321,-1.133435314263317
Brachybacterium alimentarium,0.09488460471560028,0.9799318274082436,-0.515268891197464
Brachybacterium paraconglomeratum,0.025917652225718228,0.9777487974197921,0.23557647017070604
Cellulomonas cellasea,0.011566798161524975,0.9201563534219565,-0.11059731389328448
Cephaloticoccus capnophilus,0.012798176138393434,0.9624918141845892,-0.18160949549971295
Chlamydiales bacterium SCGC AG-110-P3,0.016520036460531073,0.9757767939271214,-0.4913132889136974
Chromatocurvus halotolerans,0.21662140414797257,0.9984356492801718,-0.27339037532792165
Dermabacter hominis,0.08416916987053276,0.9918458487029164,-0.31238509857156216
Dermatophilus congolensis,0.09895222944978582,0.9917311012293404,0.07197445048901463
Desulfobacter curvatus,0.015327801624649097,0.9807186544444377,-0.3840953328589176
Geodermatophilus obscurus,0.060909989303484326,0.9664118963579494,0.12366459912596006
Granulosicoccus antarcticus,0.6350925696141193,0.9980479000586681,-0.7359840155069461
Halobacteriovorax marinus,0.08287581525376889,0.9759478073649104,-1.282981684402424
Humibacillus sp. DSM 29435,0.07241970371773733,0.9795319193348185,0.47373312571811244
Intrasporangiaceae bacterium URHB0013,0.1755113203268504,0.9947903805268702,-1.4773127007227638
Isoptericola variabilis,0.046689612375913014,0.9207385717494918,-1.209860666075345
Kocuria varians,0.06791008768324536,0.9849067749869067,-1.421484795890701
Kytococcus sedentarius,0.8336412593757606,0.9998238002378445,-1.9764937609747495
Leifsonia sp. Leaf325,0.06878754642702714,0.9766653486444123,0.19267558764945225
Luteimonas tolerans,0.31571226555541887,0.999418552204355,-2.1742302305609265
Micromonospora avicenniae,0.03635745411967202,0.9434489196381889,-0.709935886144606
Micromonospora peucetia,0.09580609949299192,0.9988782692966889,-0.26170451677922824
Mobilicoccus massiliensis,0.5573901728274058,0.9997585321207664,-5.539455764205897
Mycolicibacterium obuense,0.10752783925425533,0.9617929272182986,-1.0759650284740256
Nesterenkonia alba,0.04038104282024767,0.9029245554394302,-0.18720859562499725
Okibacterium fritillariae,0.05818301714808817,0.9649703920693612,0.2900050077125037
Paenibacillus polysaccharolyticus,0.06001295898920932,0.9028114544570004,-0.5212659465894456
Pseudoxanthomonas,0.16255657162451084,0.9972361355907298,0.15998454106885274
Psychromonas aquimarina,0.019936906475815162,0.9449440500138176,-0.5688003984249848
Rothia mucilaginosa,0.01651188163949228,0.9607670285125385,-0.37389691366771793
Saccharothrix espanaensis,0.024870573204327992,0.9340996650016334,-0.4388533251706841
Sandaracinus amylolyticus,0.04497873092195925,0.9305315943744734,-0.43692552547709584
Sanguibacter keddieii,0.016032378162406952,0.9331213869259898,-0.4841761895404822
Sediminihabitans luteus,0.17456046819371882,0.9900815213261773,0.2756150105073254
Silanimonas lenta,0.12922455611025732,0.9856712146060204,-0.5429691873022776
Thermomonas haemolytica,0.2888747495165171,0.9997571314564719,-1.0337377341705798
Virgibacillus salinus,0.016314534970351673,0.9409531188441276,-0.41741919355213297
Xanthomonas translucens,0.24549925641079828,0.9937964197641902,-0.36224693633159166
XC,0.455888746320871,0.9997318003480277,-2.6947051595096028
